size,frequency
1,5302
2,838
3,433
4,256
5,180
6,140
7,107
8,86
9,69
10,50
11,44
12,37
13,47
14,36
15,28
16,25
17,22
18,29
19,20
20,12
21,18
22,12
23,14
24,11
25,12
26,10
27,8
28,12
29,9
30,11
31,6
32,7
33,7
34,10
35,10
36,5
37,4
38,11
39,8
40,9
41,7
42,3
43,6
44,8
45,3
46,4
47,3
48,5
49,2
50,5
51,1
52,3
54,5
55,2
56,4
57,5
58,3
59,5
61,5
62,1
63,1
64,1
65,3
66,2
67,6
68,4
69,3
70,3
71,1
72,1
73,1
74,4
75,2
76,4
77,1
78,3
79,2
81,2
82,1
83,4
84,2
85,2
87,2
88,1
90,2
91,1
93,1
94,2
95,1
96,2
97,1
98,1
100,1
101,1
102,1
105,1
106,1
107,1
108,1
109,1
110,1
114,1
115,1
116,3
117,2
118,2
119,3
124,3
125,3
127,1
129,1
133,2
140,2
142,1
143,1
149,1
150,1
151,1
155,1
167,1
169,1
173,2
179,1
185,1
193,1
194,1
198,1
213,1
215,1
229,1
230,1
232,1
233,1
246,1
256,1
276,1
307,1
