size,frequency
1,14292
2,2366
3,1111
4,638
5,423
6,265
7,218
8,165
9,129
10,95
11,77
12,67
13,52
14,42
15,36
16,32
17,29
18,20
19,16
20,18
21,14
22,8
23,11
24,9
25,6
26,10
27,5
28,6
29,2
30,3
31,7
32,3
33,4
34,2
35,3
36,7
38,1
39,1
40,1
43,1
46,1
50,1
51,1
53,1
55,1
56,1
72,1
