size,frequency
1,1962
2,236
3,125
4,80
5,51
6,34
7,32
8,21
9,28
10,19
11,17
12,15
13,11
14,14
15,6
16,4
17,10
18,8
19,7
20,4
21,5
22,6
23,7
24,5
25,5
26,6
27,5
28,2
30,2
31,6
32,7
33,1
34,3
35,2
36,3
37,3
38,3
39,2
40,2
41,1
42,1
43,1
44,1
45,1
47,2
48,1
49,1
50,1
51,2
52,1
54,1
55,3
56,1
59,2
60,4
62,3
65,1
66,1
67,2
68,1
74,2
75,1
76,2
77,1
81,1
84,2
85,1
86,2
90,2
91,1
93,1
95,3
97,1
99,2
100,1
112,1
113,1
114,1
115,3
120,1
121,1
124,1
126,1
129,1
135,1
138,1
140,1
147,2
148,1
150,1
152,1
157,2
160,1
167,1
170,1
175,1
178,1
195,1
199,1
210,1
277,1
327,1
352,1
357,1
359,1
382,1
384,1
433,1
483,1
735,1
759,1
763,1
1500,145
