size,frequency
1,1935
2,239
3,125
4,71
5,51
6,48
7,37
8,22
9,20
10,21
11,18
12,19
13,6
14,15
15,7
16,6
17,6
18,8
19,6
20,7
21,5
22,3
23,5
24,2
25,9
26,3
27,2
28,4
29,2
30,2
31,5
32,1
33,1
34,2
35,2
38,1
39,1
40,1
41,3
42,4
43,2
44,3
45,3
46,3
47,1
48,1
49,4
50,2
51,4
52,3
53,1
55,1
56,1
57,1
58,2
59,2
62,1
63,2
64,2
65,2
66,1
67,1
69,2
70,1
71,2
72,2
74,1
76,1
77,2
78,1
79,1
81,1
82,1
84,1
85,1
86,1
87,1
90,1
91,1
93,2
96,1
100,2
102,1
103,1
109,2
112,1
125,1
127,2
128,1
129,1
138,1
146,1
159,2
163,1
164,2
165,2
173,1
176,1
184,1
187,1
213,1
236,1
258,1
259,1
262,1
277,1
292,1
294,1
342,1
383,1
395,1
452,1
468,1
505,1
533,1
534,1
559,1
684,1
691,1
704,1
731,1
857,1
1126,1
1500,160
