size,frequency
1,1686
2,301
3,155
4,75
5,56
6,60
7,33
8,31
9,24
10,21
11,16
12,21
13,13
14,9
15,12
16,14
17,7
18,9
19,9
20,11
21,16
22,8
23,5
24,5
25,5
26,4
27,8
28,3
29,2
30,2
31,3
32,4
33,2
34,1
35,2
36,7
37,3
38,3
39,4
40,1
41,3
42,2
43,3
44,3
45,4
46,3
47,3
48,1
49,1
50,1
51,2
52,2
53,3
54,2
55,3
56,2
57,1
58,1
59,1
60,3
62,2
63,1
65,3
66,2
69,3
71,2
72,1
73,1
74,1
76,1
77,1
78,1
81,3
84,3
87,2
89,1
90,1
91,1
96,1
101,1
104,1
107,1
115,1
120,2
123,2
128,2
131,1
139,1
142,1
144,1
145,1
151,1
153,1
157,1
158,1
163,1
171,1
174,2
176,1
192,1
224,1
229,1
234,1
236,1
250,1
251,1
281,1
298,1
308,1
316,1
341,1
389,1
429,1
525,1
531,1
570,1
721,2
1500,231
