country,month,index_param_comb,index_repetition,n_clusters,max_cluster_size,R,k,yearly_mutation_rate,mean_generation_interval,testing_proba,sequencing_proba
switzerland,01,01,1,5665,2500,0.8089618807345438,0.09786875336759189,13.13593861856894,5.2,0.9570411451701786,0.11021243846835203
switzerland,01,02,1,5665,2500,0.7680150259199767,0.0662472347598459,14.12101160476653,5.2,0.7804252576265893,0.11021243846835203
switzerland,01,03,1,5665,2500,0.7786242005665028,0.07498400974990281,13.742544404155058,5.2,0.7125237086271687,0.11021243846835203
switzerland,01,04,1,5665,2500,0.7911981818836382,0.07076480752537267,14.285068847830585,5.2,0.8123358333353164,0.11021243846835203
switzerland,01,05,1,5665,2500,0.7868011074703893,0.0827864197903463,13.608272215606984,5.2,0.8326107400559788,0.11021243846835203
switzerland,01,06,1,5665,2500,0.8089062555524194,0.09182893647093397,14.246817020590475,5.2,0.942874204605677,0.11021243846835203
switzerland,01,07,1,5665,2500,0.7819601023328691,0.07874860930647457,13.969530024887161,5.2,0.986653631044454,0.11021243846835203
switzerland,01,08,1,5665,2500,0.7816640131820274,0.07667890703018534,13.838116750891704,5.2,0.8836573350925476,0.11021243846835203
switzerland,01,09,1,5665,2500,0.7845324812691093,0.07599735088495,13.514590416363333,5.2,0.76806128195219,0.11021243846835203
switzerland,01,10,1,5665,2500,0.770709534146662,0.08485030436047447,14.517796602452362,5.2,0.9999627318355997,0.11021243846835203
switzerland,01,11,1,5665,2500,0.781616083245496,0.06678865871075867,13.709092497758556,5.2,0.9798694010681963,0.11021243846835203
switzerland,01,12,1,5665,2500,0.7616828871128841,0.09138177218821476,13.938440542818842,5.2,0.9701365160639017,0.11021243846835203
switzerland,01,13,1,5665,2500,0.764721054373792,0.09166434129039014,14.609155894863475,5.2,0.9760938975502719,0.11021243846835203
switzerland,01,14,1,5665,2500,0.7911737182860529,0.0761546997511754,13.48696288308178,5.2,0.9173027463938769,0.11021243846835203
switzerland,01,15,1,5665,2500,0.7696103610612166,0.06607800653688181,14.186797573718103,5.2,0.9967226467542528,0.11021243846835203
switzerland,01,16,1,5665,2500,0.765222488064402,0.0839499031712361,14.271547366262107,5.2,0.8962587001095953,0.11021243846835203
switzerland,01,17,1,5665,2500,0.762814644346807,0.07482385219302097,14.11030369458692,5.2,0.7621112412869108,0.11021243846835203
switzerland,01,18,1,5665,2500,0.7651462965125359,0.09788016327332873,13.573269407220486,5.2,0.7051991867815728,0.11021243846835203
switzerland,01,19,1,5665,2500,0.7799283682865029,0.08162638235089914,13.751061092979578,5.2,0.3946977057032168,0.11021243846835203
switzerland,01,20,1,5665,2500,0.7869171391099438,0.08969356774102068,14.54213298927377,5.2,0.796497445559608,0.11021243846835203
switzerland,01,21,1,5665,2500,0.768954000478217,0.06776856571289487,13.396970867851328,5.2,0.9448660443878734,0.11021243846835203
switzerland,01,22,1,5665,2500,0.7739237247407583,0.08273919555007447,13.723615471023896,5.2,0.9170264364579792,0.11021243846835203
switzerland,01,23,1,5665,2500,0.7846399607908887,0.09178660114748444,14.802979083164317,5.2,0.6300816134304976,0.11021243846835203
switzerland,01,24,1,5665,2500,0.7852600110502437,0.09072769117167712,13.752126254173263,5.2,0.9743581484529623,0.11021243846835203
switzerland,01,25,1,5665,2500,0.7734393979404017,0.07765861670007773,14.317131734286114,5.2,0.8868549467936452,0.11021243846835203
switzerland,01,26,1,5665,2500,0.7679058048274974,0.07807100494220831,13.270508249164358,5.2,0.6995420757574532,0.11021243846835203
switzerland,01,27,1,5665,2500,0.7749080558426138,0.08585112749308824,13.710545496636035,5.2,0.9533196985613791,0.11021243846835203
switzerland,01,28,1,5665,2500,0.781304250343296,0.0659955949404199,13.123624455372742,5.2,0.48013380996035143,0.11021243846835203
switzerland,01,29,1,5665,2500,0.7702453306235819,0.07624546668031722,14.722051031882852,5.2,0.8348664282791106,0.11021243846835203
switzerland,01,30,1,5665,2500,0.7869098634581498,0.0988708315565301,14.172823948229832,5.2,0.5890259296944408,0.11021243846835203
switzerland,01,31,1,5665,2500,0.7795817141209725,0.07998072709608867,13.676864591191332,5.2,0.827289742235753,0.11021243846835203
switzerland,01,32,1,5665,2500,0.7926417397986631,0.0748506465608078,12.856709272635827,5.2,0.8446297959724302,0.11021243846835203
switzerland,01,33,1,5665,2500,0.7757670297359783,0.08143220105197377,13.848304428652122,5.2,0.9020352949844805,0.11021243846835203
switzerland,01,34,1,5665,2500,0.7736777341675516,0.0856719096164034,14.240039641980951,5.2,0.8541183099470662,0.11021243846835203
switzerland,01,35,1,5665,2500,0.7625481419491836,0.0888058563327472,14.357259165437513,5.2,0.5463012833285559,0.11021243846835203
switzerland,01,36,1,5665,2500,0.7629402776345362,0.08560869838146748,13.403455685616656,5.2,0.9694834978207987,0.11021243846835203
switzerland,01,37,1,5665,2500,0.7952391577360702,0.07321783344449892,14.787116572967443,5.2,0.8900471124240728,0.11021243846835203
switzerland,01,38,1,5665,2500,0.7763457060587691,0.06498121605621239,14.601550051207381,5.2,0.8545348198277177,0.11021243846835203
switzerland,01,39,1,5665,2500,0.7839905964052356,0.06864838042078024,14.119240100478468,5.2,0.8890903582058373,0.11021243846835203
switzerland,01,40,1,5665,2500,0.7587669493391399,0.08862955326188061,15.21156962248355,5.2,0.7604015843028934,0.11021243846835203
switzerland,01,41,1,5665,2500,0.7718766015057171,0.1031042708142547,13.850772695763164,5.2,0.9774204425119888,0.11021243846835203
switzerland,01,42,1,5665,2500,0.7721698962341496,0.07399047229072096,13.892321345793988,5.2,0.9302271040673689,0.11021243846835203
switzerland,01,43,1,5665,2500,0.7780337060256441,0.09256712970104745,13.882670892768644,5.2,0.9673029944973507,0.11021243846835203
switzerland,01,44,1,5665,2500,0.76089852131999125,0.0836944249921989,15.080291575023736,5.2,0.7619397049613394,0.11021243846835203
switzerland,01,45,1,5665,2500,0.763036380194789,0.06313998962373656,14.21868585447417,5.2,0.9186703788548316,0.11021243846835203
switzerland,01,46,1,5665,2500,0.7753146417221984,0.06388688633722138,14.472048078059172,5.2,0.9066611550533951,0.11021243846835203
switzerland,01,47,1,5665,2500,0.7840492028348618,0.07313440624570901,13.973853261244543,5.2,0.9119023199357043,0.11021243846835203
switzerland,01,48,1,5665,2500,0.7822111790959405,0.08677349846407885,13.642613270589104,5.2,0.7342374425628504,0.11021243846835203
