size,month,frequency
62,9,1
67,9,1
70,9,2
72,9,1
77,9,1
83,9,1
89,9,1
92,9,1
95,9,1
99,9,1
111,9,1
174,9,1
204,9,1
363,9,1
1,10,4179
2,10,707
3,10,309
4,10,146
5,10,93
6,10,84
7,10,47
8,10,51
9,10,29
10,10,31
11,10,18
12,10,18
13,10,14
14,10,16
15,10,12
16,10,11
17,10,10
18,10,4
19,10,4
20,10,4
21,10,3
22,10,3
23,10,3
24,10,3
25,10,5
26,10,1
27,10,3
29,10,2
30,10,4
31,10,4
32,10,2
33,10,1
34,10,2
35,10,1
36,10,2
37,10,2
38,10,1
40,10,1
41,10,1
49,10,1
50,10,1
52,10,1
61,10,1
63,10,1
70,10,3
72,10,1
76,10,1
77,10,1
89,10,1
92,10,1
111,10,1
174,10,1
204,10,1
363,10,1
1,11,7044
2,11,1083
3,11,429
4,11,233
5,11,140
6,11,105
7,11,64
8,11,54
9,11,44
10,11,35
11,11,21
12,11,21
13,11,18
14,11,15
15,11,16
16,11,13
17,11,13
18,11,7
19,11,12
20,11,3
21,11,4
22,11,3
23,11,3
24,11,2
25,11,5
26,11,1
27,11,7
28,11,2
29,11,3
30,11,4
31,11,3
32,11,3
33,11,4
34,11,2
35,11,1
36,11,2
37,11,2
38,11,1
49,11,1
50,11,1
52,11,1
61,11,1
63,11,1
64,11,1
70,11,3
76,11,1
77,11,1
89,11,1
92,11,1
174,11,1
204,11,1
1,12,6274
2,12,801
3,12,301
4,12,156
5,12,97
6,12,62
7,12,42
8,12,34
9,12,32
10,12,20
11,12,11
12,12,15
13,12,15
14,12,11
15,12,10
16,12,9
17,12,14
18,12,7
19,12,11
20,12,4
21,12,5
22,12,2
23,12,4
24,12,1
25,12,3
26,12,2
27,12,5
28,12,3
29,12,3
30,12,2
31,12,1
32,12,4
33,12,3
34,12,2
36,12,1
37,12,1
38,12,1
43,12,1
45,12,1
49,12,1
52,12,1
55,12,1
59,12,1
60,12,1
61,12,1
64,12,1
70,12,3
76,12,1
77,12,2
154,12,1
174,12,1
194,12,1
233,12,1
488,12,1
