period,country,sequencing_proba,R_estimate,R_lower_cred_int,R_upper_cred_int,R_Rhat,k_estimate,k_lower_cred_int,k_upper_cred_int,k_Rhat,mutation_proba,testing_proba,detection_proba
3,New Zealand,0.45879732739420936,0.9233214180158966,0.7587238291648031,1.0947709075878667,0.999485248902587,0.7331095255486516,0.38035014254788463,1.2880640364327451,0.9986614237449164,0.4431168,0.8,0.3670378619153675
4,New Zealand,0.4801587301587302,0.8274171225157496,0.6071726905726417,1.0670435110320449,0.9999148360004234,0.3748535587599646,0.12386912555464417,0.8023528954240002,1.005215476343778,0.4431168,0.8,0.38412698412698415
all,New Zealand,0.40309713749413423,0.7092902208314464,0.6360383534703936,0.7833010184574599,1.001959681089081,0.5697106764444074,0.3136953993688238,0.9669662039381521,1.0016145476703364,0.2608825,1,0.40309713749413423
1,New Zealand,0.25229960578186594,0.7217630858066026,0.5690585533498785,0.8929525774027416,1.0073594892353475,0.5297694374864133,0.21394614960770914,1.0210268785873144,1.0027372200808253,0.2608825,1,0.25229960578186594
2,New Zealand,0.5082212257100149,0.758510807915241,0.6427958668425698,0.8798978900126058,1.0021416446300082,0.5155081065908267,0.256851217531614,0.9139581460181877,1.0010409152088735,0.2608825,1,0.5082212257100149
3,New Zealand,0.45879732739420936,0.6708135089649591,0.5519824998099848,0.8052967140409676,1.0040565922830105,0.7610638790750036,0.3946138001622161,1.3239648843268599,1.0018061919971124,0.2608825,1,0.45879732739420936
4,New Zealand,0.4801587301587302,0.6247759355092163,0.4423458488474444,0.8397416980952462,1.0006438551763837,0.38103377567531044,0.13059323625420344,0.8016078290305252,1.0006025206600215,0.2608825,1,0.4801587301587302
all,New Zealand,0.40309713749413423,0.8205422161257047,0.7356940119163973,0.906394211581726,1.003090328965295,0.5681686844522379,0.3245057339347679,0.9293316549193897,0.9997318925206683,0.36245380000000005,1,0.40309713749413423
1,New Zealand,0.25229960578186594,0.8350073168469726,0.6494686171966589,1.040320456476956,1.0004821300393838,0.5218807353242398,0.20290431596512876,1.0346890918216944,1.0000335861776104,0.36245380000000005,1,0.25229960578186594
2,New Zealand,0.5082212257100149,0.874876594086453,0.7368696086859345,1.026914005603566,1.0003248646301404,0.51644158211379,0.2580147353508278,0.9216843359776286,1.0027522851689736,0.36245380000000005,1,0.5082212257100149
3,New Zealand,0.45879732739420936,0.7700324121289033,0.6256596356474926,0.9307697738960823,1.000304658357852,0.7413755640914864,0.36276349641656597,1.284696774853766,1.0016400428153216,0.36245380000000005,1,0.45879732739420936
4,New Zealand,0.4801587301587302,0.7054715509799926,0.5171157453416512,0.9420430968957217,1.0017771055238174,0.38343414160315614,0.14159400005598602,0.8156811109437523,1.0021851249297105,0.36245380000000005,1,0.4801587301587302
all,New Zealand,0.40309713749413423,0.9360718245125984,0.838072123465617,1.0327561545778037,1.0008937094047474,0.5633293247911703,0.3176203854377074,0.9571868387347833,0.9994055788002357,0.4431168,1,0.40309713749413423
1,New Zealand,0.25229960578186594,0.9255242461484274,0.7013743901678039,1.1584969350986039,1.0017895241968995,0.4984535968812446,0.19512182264318306,0.9731712696228628,0.9996402323690501,0.4431168,1,0.25229960578186594
2,New Zealand,0.5082212257100149,0.9842851728877379,0.8248023994458882,1.1527523142502272,1.0019104550196456,0.5088623882399446,0.2548076413794029,0.9009800563343094,1.0015382519354425,0.4431168,1,0.5082212257100149
3,New Zealand,0.45879732739420936,0.8680948021702494,0.7121798314880745,1.0405522780859582,0.9999642060410528,0.7384894373109032,0.3654539263035168,1.234697015691922,0.9988410935912209,0.4431168,1,0.45879732739420936
4,New Zealand,0.4801587301587302,0.7867413647620902,0.5611569755890126,1.0524194335712338,1.001784410948842,0.37519581409910524,0.124800088442047,0.7968964306663957,1.0036632293612553,0.4431168,1,0.4801587301587302
