period,country,sequencing_proba,R_estimate,R_lower_cred_int,R_upper_cred_int,R_Rhat,k_estimate,k_lower_cred_int,k_upper_cred_int,k_Rhat,mutation_proba,testing_proba,detection_proba
all,New Zealand,0.40309713749413423,0.8369415037365374,0.7685211397521639,0.905796871746674,1.005398519517088,0.5465813934653974,0.28159695266849705,0.988707306352347,1.0050686097158779,0.2608825,0.5,0.20154856874706711
1,New Zealand,0.25229960578186594,0.8372718574513293,0.6894449533639979,0.9857882176819263,1.0008019544692472,0.5055032157046786,0.1865320003086555,1.0025021187079195,1.0004380777540274,0.2608825,0.5,0.12614980289093297
2,New Zealand,0.5082212257100149,0.8723510524807178,0.7602003136712995,0.9851593892005257,1.0016655807920851,0.4983325074888099,0.23652811730853698,0.931542764858898,1.001352705969008,0.2608825,0.5,0.25411061285500747
3,New Zealand,0.45879732739420936,0.8001410988470246,0.6848786782452176,0.9169722229602254,1.0010633900538872,0.7066096729364287,0.3508600448477873,1.219763558207884,1.000859463542877,0.2608825,0.5,0.22939866369710468
4,New Zealand,0.4801587301587302,0.7169780729637588,0.5406393925826432,0.904675261671775,1.0040918786164035,0.38519985250958966,0.1244546605324383,0.8196809870594688,1.0038619249272556,0.2608825,0.5,0.2400793650793651
all,New Zealand,0.40309713749413423,0.9670884424291197,0.8875595990556645,1.0495754952642748,1.005844160378048,0.5349173847830113,0.2838470172004903,0.9338125529037126,1.0009741412086774,0.36245380000000005,0.5,0.20154856874706711
1,New Zealand,0.25229960578186594,0.9562870715347334,0.7730139778880185,1.1325400778969335,1.0057506359336208,0.5046579143871587,0.18228943486520988,1.0039470585816705,1.0034656302190905,0.36245380000000005,0.5,0.12614980289093297
2,New Zealand,0.5082212257100149,1.0059504325513218,0.8782769168961838,1.1442863555508387,1.0015988800650935,0.5054695033961756,0.23328938388322804,0.9625623025376725,1.0022171887701379,0.36245380000000005,0.5,0.25411061285500747
3,New Zealand,0.45879732739420936,0.9196020278639223,0.7919070996404937,1.0483979940914343,0.9996740052500738,0.7003905933365107,0.33586293940481643,1.235227490590212,1.0015995837288927,0.36245380000000005,0.5,0.22939866369710468
4,New Zealand,0.4801587301587302,0.8166886895611116,0.6413621323246542,1.0164000913519953,0.999494780713377,0.37513841024374883,0.11631318069164899,0.8352170750800841,1.0010479168581563,0.36245380000000005,0.5,0.2400793650793651
all,New Zealand,0.40309713749413423,1.1050027441994346,1.0109546314886593,1.1879654643714102,1.0028156680357492,0.5368574759962317,0.2905571147878387,0.9282148054820696,1.0026663376677853,0.4431168,0.5,0.20154856874706711
1,New Zealand,0.25229960578186594,1.0862538686017116,0.8893633980025079,1.287428850697686,1.006742754802039,0.49896769176370115,0.1778783990981147,0.9743477713186803,1.0032304142082946,0.4431168,0.5,0.12614980289093297
2,New Zealand,0.5082212257100149,1.1443859892710995,1.0056438463953696,1.2915423115641653,1.0011935494667616,0.48121961035299027,0.22096762718781324,0.8949332764572642,1.0022167019909447,0.4431168,0.5,0.25411061285500747
3,New Zealand,0.45879732739420936,1.0392810543923758,0.8792862819120757,1.1990527205416652,0.9997454274239397,0.6922010384367012,0.32949460283307713,1.2796815087457658,1.0036377441312796,0.4431168,0.5,0.22939866369710468
4,New Zealand,0.4801587301587302,0.9155851163880251,0.6902432947239683,1.153575240525796,1.0027779477768952,0.36833692378630706,0.11953493250005288,0.7903335360259206,1.001419046966899,0.4431168,0.5,0.2400793650793651
all,New Zealand,0.40309713749413423,0.7525900055787023,0.6774153661022302,0.8333473460339417,1.0024178516412492,0.5489361862687197,0.3006277231015431,0.932390154875115,1.0043265728980675,0.2608825,0.8,0.3224777099953074
