month,country,sequencing_proba,R_estimate,R_lower_cred_int,R_upper_cred_int,R_Rhat,k_estimate,k_lower_cred_int,k_upper_cred_int,k_Rhat,mutation_proba,testing_proba_estimate,testing_proba_lower_cred_int,testing_proba_upper_cred_int,testing_proba_Rhat,detection_proba_estimate,detection_proba_lower_cred_int,detection_proba_upper_cred_int,detection_proba_Rhat
1,Switzerland,0.11021243846835203,0.8888945078190318,0.8573660872678157,0.9247935705163555,1.0038715046324629,0.08142513170977551,0.05994179044121499,0.10115811422209015,1.0005914252204742,0.2811,0.8743350800363201,0.5943865612074732,0.9959743761260752,1.002792627440909,0.09636260120922459,0.065508792303494,0.10976876464485039,1.002792627440909
2,Switzerland,0.1312052320149486,1.1101043108473585,1.064791085268827,1.178355922103323,1.0047430179320629,0.25643204364272565,0.16346717283317241,0.3568381191317867,1.0007326742189109,0.2811,0.7434327308103381,0.30511095052334525,0.9930731632463518,1.003272658016969,0.09754226393347726,0.04003215305371702,0.13029639479155652,1.003272658016969
3,Switzerland,0.1165240004334164,1.0836845559381032,1.0448212601178621,1.1327796289068475,1.0063714627434979,0.1906451354639609,0.12709293068954097,0.25789383232722757,1.003074508825407,0.2811,0.7906815767206543,0.4144831441778203,0.9937041086469199,1.00757241443056,0.09213338038849195,0.04829723407182013,0.11579037798666136,1.00757241443056
4,Switzerland,0.12875204265932744,1.052256110412735,1.0122468466922785,1.124133979305149,1.0070780320900303,0.23035558209832815,0.15105824072873983,0.2977050615900448,1.0014776775290435,0.2811,0.7779763488956043,0.33011245167682,0.9896603753419917,1.007716167154633,0.10016604406095464,0.042502652460669095,0.1274207948642781,1.007716167154633
5,Switzerland,0.17024585751031884,1.0400368290154929,0.9917914043590073,1.1179816282762873,1.0048871446640444,0.24857965074790533,0.15928224807887476,0.33401004373395465,1.0184211992548573,0.2811,0.7384148581863058,0.29931006844215735,0.988742176208282,1.0094689694370944,0.1257120707302881,0.0509562992634073,0.16832925964519774,1.0094689694370944
6,Switzerland,0.21487603305785125,1.0959056323085228,1.0413606406492883,1.159936399828642,1.0056219917820735,0.1815494134433409,0.11223038784745745,0.2546091499614532,1.002988432178098,0.2811,0.7803209511600115,0.3915906402251149,0.9911926782743868,1.0018628458226317,0.1676722704971925,0.08414344335415692,0.21298355070358727,1.0018628458226317
7,Switzerland,0.338152261587144,0.9722133339556956,0.9324740014537286,1.0210893222496558,1.0023310315613685,0.19600683324362989,0.15810081162237027,0.24169918361496895,1.0043971433418408,0.2811,0.8865732070605268,0.607773105302315,0.9968330038337081,1.007144193913267,0.29979673503008464,0.20551985008981924,0.33708133467107465,1.007144193913267
8,Switzerland,0.19261160679769287,0.886763916102066,0.8628374368029981,0.9155505159739175,1.0001224716659645,0.12969663225907702,0.10998675532172049,0.15004805233712615,1.0017511877607634,0.2811,0.9283319485169969,0.7478710115654931,0.9982812913866184,1.0049663027472233,0.17880750824549196,0.1440486372150456,0.1922805635700524,1.0049663027472233
9,Switzerland,0.15669649049798862,0.9950921024250512,0.9705199521622847,1.0249390254651822,1.0021115398756653,0.15608185962119436,0.12651889097631086,0.18538368297104016,1.001571216169381,0.2811,0.9024455728874141,0.678595083844109,0.9954237612917876,1.001747405346277,0.1414100541369045,0.10633346810756023,0.15597940995273066,1.001747405346277
10,Switzerland,0.25492631697814916,1.0136295587282012,0.9818126789864743,1.0617233960170827,1.0092181723195335,0.2135759173494235,0.1615471684967202,0.25502051301052175,1.0134206659450338,0.2811,0.8530356668952738,0.5042202167233931,0.9960547573085424,1.0144077113400567,0.21746124081261148,0.12853900279521877,0.2539205707892309,1.0144077113400567
11,Switzerland,0.097207187702966,1.0121201864527758,0.989205266902131,1.0435637822983779,1.0101408389742894,0.11441014369982772,0.0876016156206894,0.1379028665974653,1.010382988939431,0.2811,0.8723343007616494,0.5886455883637581,0.996484206269907,1.016388632150243,0.08479716411387325,0.0572205821985987,0.09686542728191994,1.0163886321502433
12,Switzerland,0.03298508889019048,0.9961032867300683,0.9712726047386473,1.0191757379270803,1.001133294481323,0.024588077767748837,0.01755622580034685,0.029885975948356572,1.0020086418494543,0.2811,0.8908872385897947,0.6315946006801245,0.9972743722942315,0.999982475546283,0.02938599475602073,0.020833204045998265,0.03289518381803414,0.999982475546283
1,Denmark,0.4610059559075743,1.2281532328315001,1.2000650195938625,1.2738649895317162,1.00281812756727,0.39778403497980197,0.29844167932083193,0.4760366705395087,1.0073588949973329,0.2811,0.7532922745821806,0.3054869626121817,0.989410460879028,1.0047171749854544,0.3472722251215494,0.14083130921633025,0.4561241153024899,1.0047171749854544
2,Denmark,0.7206751711263223,1.2831980114769974,1.2450424247416632,1.3331875271479763,1.010128705092963,0.5565152108860919,0.3883551871118624,0.6971740096732092,1.0169213928830052,0.2811,0.6277248234295095,0.13423076016833013,0.9859652143199915,1.0124853609556341,0.4523856945453021,0.09673677605472765,0.7105606495546609,1.012485360955634
3,Denmark,0.8446500444305055,1.2138628665023805,1.1809055321283748,1.2689409530895879,1.0092979052362083,0.5106636517138504,0.4224161592545191,0.5940197247144215,1.005859323680567,0.2811,0.7829051548755381,0.30499241488097223,0.9926710140996406,1.012034530287001,0.661280873850495,0.25761185678018034,0.8384596161641364,1.012034530287001
4,Denmark,0.7160583941605839,1.246653039904622,1.2205452504300527,1.2820778554746082,1.0040557486832986,0.522666846367837,0.43879929770630155,0.6130374888541813,1.0016306588178943,0.2811,0.7972125252333484,0.39702836573336725,0.991435186605255,1.005031287147892,0.5708507206232954,0.28429549400323595,0.7099254876348576,1.005031287147892
5,Denmark,0.7788510079763067,1.1844166010293002,1.1597982555738926,1.2141815908595177,1.0057534155309202,0.3494522370125447,0.30539242598953187,0.38883845645426157,1.004988076846413,0.2811,0.8898446552409487,0.6266678230373344,0.9959416523713102,1.0088801215626813,0.6930564066767418,0.48808086563894565,0.7756901598349832,1.0088801215626813
6,Denmark,0.4361115894609954,1.3021376436452772,1.2746254443534895,1.3315801266780496,1.005098864014243,0.3408290636600684,0.24585266830635316,0.4408327507894029,1.0084083411753115,0.2811,0.7440520115867479,0.3311881770716684,0.9903021585730158,1.009187034588805,0.3244897054147477,0.14443500231341488,0.4318822484219326,1.0091870345888048
7,Denmark,0.831049268538759,1.0515951347352672,1.025172032216925,1.077992835928502,1.0051793074225392,0.28076412849207877,0.2545593726976218,0.3095752385989516,1.001438696000727,0.2811,0.9463987674528521,0.81710647051781,0.998448708830117,1.0077007623751912,0.7865040034376765,0.6790557346421132,0.8297600691467373,1.0077007623751912
8,Denmark,0.8218173050427114,1.0150034497526135,0.9916692524528938,1.047899369500438,1.0007469995562692,0.4191000955817007,0.38115965576988464,0.45785975591397976,1.0068961590178949,0.2811,0.9207977771488252,0.729655881363196,0.997115864184656,1.0018469838244124,0.7567275477057667,0.5996438300304661,0.8194470723195684,1.0018469838244126
9,Denmark,0.8594348659003831,1.122057179517248,1.084932995202159,1.1801390242772136,1.0110351850036354,0.40408778645388244,0.33128348879148556,0.4614851661438385,1.0009680489157664,0.2811,0.8232739005891843,0.41915060287640876,0.9939314176049221,1.0140005406248285,0.7075502943521508,0.3602326421751511,0.8542193146034639,1.0140005406248287
10,Denmark,0.7840743499239015,1.177396559945279,1.1547737317932907,1.205621620919057,1.011104542296062,0.4001817349969462,0.3601490088084158,0.44148304087984114,1.0048132995470094,0.2811,0.8937002846526269,0.6494719725484971,0.9976569976157769,1.0112209554323746,0.7007274697158137,0.5092343146697569,0.7822372618526215,1.0112209554323748
11,Denmark,0.4651326206515323,1.1279264076406275,1.114782138935782,1.1416651643165279,1.0036850469764786,0.2480125281644019,0.23142993878159834,0.2654298285407052,1.0006279027031475,0.2811,0.9552766872575842,0.8442364115509773,0.998579201169493,1.0024757864145102,0.4443303489914345,0.3926818945541517,0.46447176076807994,1.00247578641451
12,Denmark,0.11679548294534178,1.2178377303298935,1.2076676800655122,1.228238131713464,1.0047946212250631,0.13447720318015877,0.11822394520143421,0.14940949901608186,1.006625833956887,0.2811,0.9414877397371826,0.7853873209848548,0.9980078420091044,1.0090705967625195,0.10996151524972245,0.09172969145357428,0.1165628078906917,1.0090705967625195
