size,frequency
1,3155
2,595
3,280
4,169
5,98
6,108
7,61
8,68
9,53
10,33
11,34
12,29
13,22
14,21
15,21
16,15
17,15
18,7
19,16
20,9
21,7
22,10
23,10
24,12
25,9
26,4
27,8
28,7
29,11
30,9
31,5
32,3
33,9
34,5
35,7
36,2
37,5
38,3
39,1
40,1
41,4
42,6
43,8
44,3
45,1
46,4
47,2
48,3
49,2
50,4
51,2
52,4
53,2
54,3
55,2
57,3
58,2
59,5
61,3
62,4
63,4
64,1
65,2
66,3
67,3
68,1
70,2
72,1
73,2
74,3
75,3
76,1
77,1
78,2
79,1
80,1
81,2
83,1
86,1
89,1
95,1
98,3
99,2
101,3
102,1
104,1
105,1
106,1
107,3
109,1
111,1
114,1
115,3
125,1
126,1
128,1
129,1
133,1
134,1
136,2
141,1
144,2
159,1
171,2
177,1
184,1
187,1
189,1
190,1
193,1
208,1
210,1
212,1
217,1
220,1
227,1
235,1
244,1
246,1
271,1
276,1
305,1
309,1
373,1
384,1
390,1
407,1
573,1
621,1
631,1
