size,frequency
1,2471
2,532
3,227
4,147
5,92
6,72
7,71
8,59
9,39
10,29
11,24
12,21
13,22
14,19
15,16
16,12
17,14
18,17
19,20
20,10
21,11
22,9
23,5
24,9
25,5
26,6
27,6
28,6
29,7
30,9
31,9
32,4
33,4
34,4
35,2
36,4
37,2
38,5
39,4
40,3
41,2
42,7
43,4
44,2
45,4
46,4
47,4
48,3
49,5
50,2
52,3
53,2
55,2
56,1
57,1
58,5
59,1
60,1
61,1
62,2
63,1
64,4
65,4
66,4
67,3
68,2
69,1
70,2
72,1
73,3
74,2
79,2
83,1
85,1
86,2
88,3
89,2
93,1
94,1
95,1
98,1
99,1
100,1
101,2
103,1
104,1
106,2
111,1
118,1
120,1
121,1
126,1
129,1
131,1
132,1
136,2
139,1
140,1
144,2
146,1
157,1
160,1
167,1
180,1
182,1
183,1
191,1
192,1
198,1
210,1
213,1
216,1
218,1
227,1
228,1
236,1
238,1
249,1
257,1
260,1
272,1
273,1
291,1
296,2
304,1
313,1
318,1
328,1
337,1
338,1
349,1
359,1
361,1
363,1
440,1
448,1
459,1
483,1
520,1
562,1
586,1
690,1
710,1
840,1
850,1
1458,1
