size,frequency
1,5190
2,758
3,359
4,207
5,138
6,114
7,71
8,58
9,53
10,44
11,55
12,39
13,35
14,25
15,19
16,13
17,21
18,14
19,10
20,11
21,9
22,9
23,12
24,12
25,9
26,9
27,9
28,3
29,10
30,8
31,5
32,5
33,9
34,7
35,6
36,2
37,1
38,3
39,5
40,3
41,5
42,6
43,3
44,1
45,1
46,1
47,4
48,2
49,3
50,5
51,1
52,3
53,2
54,1
55,2
56,3
59,1
60,1
62,2
64,2
66,1
67,3
69,1
70,1
72,1
74,1
75,1
76,1
79,1
80,3
82,1
85,1
87,1
89,1
90,1
95,1
97,1
101,1
104,1
108,1
112,1
115,2
117,1
118,1
126,1
129,1
130,1
136,1
141,2
150,1
158,1
174,1
187,1
284,1
