size,frequency
1,5089
2,735
3,371
4,221
5,154
6,97
7,77
8,76
9,44
10,53
11,43
12,30
13,27
14,36
15,22
16,19
17,19
18,19
19,16
20,14
21,10
22,15
23,9
24,8
25,15
26,14
27,5
28,12
29,6
30,8
31,4
32,6
33,7
34,8
35,10
36,9
37,1
38,9
39,9
40,6
41,6
42,4
43,4
44,7
45,3
46,4
47,3
48,5
49,1
50,4
51,3
52,1
53,2
54,2
55,2
56,2
57,3
58,4
59,1
60,2
61,3
62,1
63,3
65,4
66,1
67,2
69,1
70,1
71,1
73,1
74,1
76,1
78,2
80,1
81,1
82,2
85,2
86,2
87,2
88,1
92,1
95,1
98,1
100,1
101,1
102,1
115,1
120,1
124,1
125,1
130,1
132,2
135,1
142,1
143,2
151,1
161,1
163,1
166,1
174,1
178,1
186,1
187,1
196,1
207,1
211,1
242,2
