size,frequency
1,1148
2,217
3,93
4,68
5,47
6,25
7,17
8,16
9,8
10,15
11,19
12,12
13,8
14,14
15,7
16,3
17,12
18,5
19,6
20,3
21,3
22,2
23,1
24,1
25,1
26,4
27,9
28,1
29,7
30,5
31,1
32,3
33,1
34,2
35,5
36,1
37,1
38,1
39,2
40,3
41,1
42,1
43,6
44,1
46,4
47,4
48,1
49,1
50,1
55,3
56,2
58,3
59,2
61,1
62,1
64,3
66,1
67,2
68,2
69,1
70,1
71,1
73,1
74,1
77,1
80,1
82,1
83,2
86,1
87,1
95,1
113,2
115,1
119,1
120,1
124,1
130,1
131,1
147,2
149,1
154,2
156,1
161,1
168,1
188,1
190,1
199,1
202,1
209,1
214,1
251,1
264,1
292,1
317,1
338,1
362,1
378,1
391,1
401,1
