month,country,sequencing_proba,R_estimate,R_lower_cred_int,R_upper_cred_int,R_Rhat,k_estimate,k_lower_cred_int,k_upper_cred_int,k_Rhat,mutation_proba_estimate,mutation_proba_lower_cred_int,mutation_proba_upper_cred_int,mutation_proba_Rhat,testing_proba_estimate,testing_proba_lower_cred_int,testing_proba_upper_cred_int,testing_proba_Rhat,detection_proba_estimate,detection_proba_lower_cred_int,detection_proba_upper_cred_int,detection_proba_Rhat
1,Switzerland,0.11021243846835203,0.9017652574519166,0.797285632806823,1.0348885006836888,1.0004548579477368,0.08131187413686639,0.05871268116945548,0.10078707026245905,1.0069962600194757,0.28794362542597424,0.20328570284207054,0.3766065181667779,1.0017591920731517,0.8694615406263639,0.5749189845008268,0.9952946464572826,1.0113371223733947,0.09582547654688171,0.06336322320358481,0.10969384998055345,1.0113371223733947
2,Switzerland,0.1312052320149486,1.114066651672891,0.989218296257858,1.275210290749157,1.011007426703304,0.2518817358400421,0.1563050623363118,0.35485054420010076,1.0007143306331032,0.28070493625700754,0.2008232036995684,0.3701743064524058,1.011719603058906,0.7356314580751422,0.2967905315116568,0.9916727006761069,1.0010323265150978,0.09651869613424398,0.038940470546826846,0.1301126467750993,1.0010323265150978
3,Switzerland,0.1165240004334164,1.0950231853233876,0.9725662659010563,1.2543250994184325,1.005250877032,0.19104876219918854,0.12344616911335067,0.25598915948668266,1.006897701764861,0.2847262135796792,0.2027315444942358,0.3727232234526079,1.007193603844317,0.7881966826193224,0.3819394887977191,0.991771165988086,1.004823690403443,0.09184383058715131,0.04450511715820425,0.11556514377544562,1.0048236904034433
4,Switzerland,0.12875204265932744,1.053431207858237,0.9323512072359702,1.211873384814671,1.003218077092369,0.23247329469694883,0.15742048053837435,0.30309067249556515,1.0056033729012395,0.27922627926512944,0.19642105771267188,0.36986517795442275,1.003703814853984,0.7805884948097643,0.37224691365289864,0.9911934532078566,1.0046009462449337,0.10050236318312696,0.047927550506440986,0.12761818177106402,1.0046009462449337
5,Switzerland,0.17024585751031884,1.0494436818690145,0.9187215641612918,1.2167678848072825,1.0032790390793302,0.24837129475264896,0.15778794260563148,0.33589810127542563,1.0033288741138746,0.28327794804393536,0.19411967580776282,0.38078110846878666,1.0027562306853282,0.7312483760518735,0.28515681678196464,0.9870776453745123,1.0033299034477587,0.12449200683397935,0.04854676679795844,0.16804588016605027,1.0033299034477587
6,Switzerland,0.21487603305785125,1.100445964128118,0.9745008711021546,1.2540311302525144,1.000802486733554,0.18267126484390792,0.10717429205407639,0.2585632090386691,1.0008696645713409,0.28018768109505987,0.1988111522286355,0.3676584568324934,1.0004497369878351,0.7787445962003972,0.3399112061171474,0.9921451446187706,1.001260593488444,0.16733354959677954,0.07303877156236226,0.21318821289328957,1.001260593488444
7,Switzerland,0.338152261587144,0.977832952174662,0.8626421709615544,1.115478187205977,1.0037202163919101,0.19529600254868162,0.15863627238337466,0.2362636129173655,1.0030651537327595,0.2826274589762405,0.19524032071032366,0.36781513620387896,1.0043441651697138,0.8851458850937163,0.6366751023465919,0.9966415857719751,1.0034027126087106,0.2993140828789944,0.2152931257547264,0.337016606220591,1.0034027126087106
8,Switzerland,0.19261160679769287,0.9008210501829217,0.7931960219835725,1.0356743375305009,1.0022545652904746,0.12942977822846533,0.10860816893186409,0.14875294980469117,1.0014118248200408,0.2885652173857703,0.2012450072331427,0.380320639343004,1.0014599628031016,0.9242643464674709,0.7240144404613016,0.9976415446741655,1.0004008408723248,0.17802404087891896,0.13945358472198385,0.1921573409278233,1.0004008408723246
9,Switzerland,0.15669649049798862,1.0047127541708052,0.8901096994193384,1.1444330677602936,1.0024795540762856,0.15641107141420746,0.12617846597881696,0.18411203334552867,1.0080416516956383,0.284442860900902,0.1975057392656181,0.37236029331451204,1.00400518952637,0.8988757131124446,0.6532766330404918,0.9968080966367716,1.0099518387757755,0.14085066963859694,0.10236615572178741,0.156196330442962,1.0099518387757758
10,Switzerland,0.25492631697814916,1.0233234034440737,0.9069838923973935,1.1735282788559493,1.0027598906316095,0.21216595936678892,0.16473828828107756,0.25517704714293,1.003952101419128,0.2834221361480867,0.1987002010072093,0.37580289248219423,1.0032393859856674,0.835365558478721,0.5089491432431317,0.9942670895280293,1.006296407760839,0.21295666515337502,0.129744530616156,0.25346484722596424,1.0062964077608392
11,Switzerland,0.097207187702966,1.0174211431996436,0.9106858683858672,1.1630460992185172,1.0020597134124165,0.1153908453410953,0.08954818574331133,0.1375933946173319,1.0049677402673105,0.28289546786556735,0.2054166084252509,0.3731211235533586,1.0017610506777435,0.8820614286058273,0.6103005648181244,0.9955267323885425,1.0039851846585348,0.08574271085603305,0.05932560155950159,0.09677235393861347,1.0039851846585348
12,Switzerland,0.03298508889019048,1.0027959099618509,0.8921810822893522,1.136536921991968,1.0012690550102914,0.024399016581395643,0.016845093005712183,0.03008015767613407,1.0112003909445813,0.2833084859778829,0.20172281851607596,0.36974305722749906,1.0009049347845393,0.8842491126810609,0.603483018775126,0.9968042284483359,1.0172871769179068,0.029167035582856847,0.01990594101801802,0.0328796760814861,1.0172871769179068
1,Denmark,0.4610059559075743,1.227599570234059,1.0931471441197596,1.3914832388727398,1.00221418334893,0.39965785762291706,0.3096890598458981,0.4775270002364206,1.0040171536166234,0.2784506694915363,0.19797875948569096,0.3670510684518327,1.0010887060927025,0.7571242590556259,0.3158187655678944,0.991618551517063,1.000190806981998,0.34903879278675276,0.14559433191417726,0.4571420582378079,1.000190806981998
2,Denmark,0.7206751711263223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Denmark,0.8446500444305055,1.2139161001576686,1.0851324781331693,1.3728866316035733,1.0021031812368622,0.5123844970260583,0.4225730280947861,0.5906242493226033,1.0012785872778553,0.27823503817226586,0.19858862396210114,0.36529140690067924,1.0015390889386995,0.7778944206857575,0.36267264804205857,0.9930726349316117,1.0022317592486312,0.6570485569944674,0.30633146828245383,0.8387988452177049,1.0022317592486314
4,Denmark,0.7160583941605839,1.2477258639767919,1.1119134679431493,1.418810219262438,1.0041540104582312,0.522327171713325,0.42970133290139223,0.6109025779128074,1.0025390060194015,0.27838714298482836,0.19709768808138825,0.3646844962550767,1.0044711702635298,0.7851171874272569,0.3450973544768744,0.9932164642979825,1.00446868311342,0.5621897524570357,0.24710985747577646,0.7112009864790662,1.0044686831134197
5,Denmark,0.7788510079763067,1.1839149224827707,1.0516730924955526,1.3507925894360207,1.004149645730032,0.3509426566195641,0.3126128235957171,0.39033845065267536,1.0022812842372564,0.27813486041586677,0.19497153416921403,0.37101023329642835,1.0045047962078937,0.8920967092752862,0.6176185698360424,0.9972396799039045,1.0048143517662005,0.6948104212314032,0.4810328456616865,0.7767011298871255,1.0048143517662005
6,Denmark,0.4361115894609954,1.2942724138163135,1.1571322253037162,1.4613104282112328,1.0073461973037698,0.34310062738697555,0.24686270215762154,0.4343457982515883,1.0030213965710464,0.27419351282736615,0.1929174030199069,0.35918624947382194,1.0070579819198784,0.7483736521327825,0.3172910343145573,0.9929802267755125,1.0017238302243014,0.32637442294235774,0.1383742972966448,0.43305018500240833,1.0017238302243014
