size,frequency
1,13268
2,2166
3,1039
4,683
5,441
6,332
7,247
8,184
9,163
10,131
11,138
12,109
13,101
14,95
15,72
16,73
17,51
18,43
19,54
20,45
21,34
22,50
23,41
24,23
25,27
26,23
27,18
28,24
29,21
30,18
31,17
32,18
33,19
34,17
35,23
36,19
37,24
38,16
39,8
40,9
41,9
42,9
43,13
44,9
45,16
46,6
47,4
48,10
49,7
50,5
51,4
52,5
53,7
54,4
55,3
56,4
57,6
58,7
59,2
60,4
61,5
62,3
63,3
64,5
65,3
66,2
67,3
68,5
69,3
70,8
71,2
72,2
73,4
74,5
75,3
76,4
77,4
78,4
79,4
80,1
81,2
82,1
83,2
84,3
85,4
86,1
87,1
88,4
89,2
90,2
92,1
93,1
94,2
95,1
96,1
97,3
98,4
99,2
100,2
101,1
102,3
103,2
104,2
105,1
107,2
108,1
111,3
112,1
113,1
114,1
116,2
117,4
118,2
119,2
123,1
125,2
129,1
131,2
132,2
134,1
135,4
139,3
142,1
143,1
147,1
157,1
161,1
162,1
163,1
164,1
174,1
177,2
181,1
182,1
184,1
198,1
199,1
217,2
218,1
221,1
228,1
233,1
259,1
273,2
299,1
302,1
325,1
