size,frequency
1,17390
2,2856
3,1402
4,843
5,585
6,440
7,309
8,251
9,194
10,173
11,149
12,114
13,100
14,86
15,78
16,68
17,63
18,56
19,50
20,38
21,41
22,32
23,24
24,34
25,22
26,15
27,22
28,27
29,23
30,17
31,18
32,16
33,9
34,13
35,10
36,8
37,8
38,11
39,8
40,12
41,9
42,7
43,4
44,11
45,3
46,4
47,6
48,3
49,6
50,2
51,5
52,7
53,6
54,5
55,3
56,6
57,1
58,3
59,1
60,2
61,3
62,3
63,5
64,2
65,2
66,3
68,1
69,6
72,3
73,1
74,2
75,1
77,1
78,1
80,1
81,1
82,1
83,1
84,1
85,1
87,1
89,1
90,1
93,1
94,2
99,1
101,1
105,1
107,1
119,1
121,2
124,1
145,1
