size,frequency
1,17485
2,2915
3,1386
4,809
5,527
6,430
7,338
8,247
9,184
10,152
11,153
12,123
13,86
14,94
15,66
16,64
17,53
18,46
19,48
20,50
21,45
22,32
23,33
24,24
25,20
26,23
27,25
28,28
29,21
30,21
31,9
32,18
33,14
34,8
35,7
36,16
37,8
38,13
39,4
40,9
41,2
42,8
43,8
44,7
45,10
46,3
47,5
48,3
49,3
50,4
51,3
52,3
53,5
54,1
55,6
56,4
57,2
58,5
59,4
60,1
61,5
62,1
63,2
64,1
65,2
66,4
67,1
71,2
72,1
73,1
74,2
75,1
77,3
80,1
81,1
88,2
90,1
91,2
92,1
94,1
97,1
100,1
103,1
107,1
113,1
117,1
128,1
142,1
