size,frequency
1,12128
2,1893
3,1020
4,593
5,392
6,303
7,237
8,174
9,180
10,113
11,102
12,91
13,76
14,69
15,57
16,60
17,45
18,39
19,50
20,35
21,30
22,18
23,33
24,29
25,31
26,21
27,20
28,16
29,16
30,15
31,17
32,18
33,13
34,13
35,13
36,8
37,13
38,8
39,3
40,10
41,3
42,10
43,7
44,10
45,7
46,7
47,9
48,4
49,9
50,11
51,7
52,6
53,4
54,4
55,8
56,3
57,6
58,4
59,5
60,4
61,6
62,3
63,2
64,6
65,4
66,3
67,5
68,2
69,2
70,1
71,7
72,1
73,4
74,2
75,4
76,1
77,1
80,1
81,1
82,1
83,2
85,1
86,3
87,2
88,4
89,1
90,1
91,1
92,1
93,2
94,1
95,1
96,1
99,1
100,1
101,1
104,1
105,2
107,1
112,1
113,1
114,2
120,1
121,1
138,1
151,1
158,1
159,1
176,1
203,1
220,1
226,1
237,1
241,1
247,1
262,1
265,1
