size,frequency
1,3913
2,670
3,287
4,177
5,140
6,100
7,79
8,68
9,47
10,35
11,41
12,36
13,32
14,20
15,24
16,31
17,18
18,15
19,12
20,13
21,16
22,19
23,8
24,9
25,11
26,9
27,6
28,7
29,8
30,5
31,6
32,8
33,3
34,11
35,6
36,7
37,7
38,5
39,6
40,3
41,5
42,2
43,4
44,6
45,4
46,3
47,5
48,1
49,3
50,3
52,2
53,3
54,1
55,2
56,3
57,3
58,2
59,4
61,4
62,1
63,4
64,1
65,2
66,2
67,2
68,3
69,1
70,1
72,2
73,4
74,2
75,3
76,3
78,2
79,1
80,3
81,1
82,2
83,1
86,1
88,1
89,2
90,1
91,1
92,1
94,1
95,1
96,1
98,1
99,1
104,1
105,2
109,2
115,1
116,1
117,2
121,1
124,2
128,1
132,1
134,1
137,1
138,2
139,2
140,1
143,1
145,1
146,1
147,1
157,1
160,1
163,1
165,2
167,1
178,1
182,1
186,1
199,1
215,1
217,2
243,1
251,1
270,1
313,1
325,1
333,1
345,1
443,1
