size,frequency
1,2632
2,547
3,246
4,180
5,120
6,83
7,70
8,50
9,60
10,31
11,23
12,27
13,13
14,17
15,21
16,15
17,16
18,12
19,13
20,7
21,8
22,8
23,7
24,10
25,10
26,7
27,6
28,7
29,7
30,1
31,7
32,6
33,7
34,5
35,4
36,6
37,5
38,2
39,4
40,3
41,6
42,3
43,1
44,2
45,4
46,2
47,3
48,6
49,2
50,2
51,1
52,2
53,2
54,1
55,5
56,4
57,3
58,3
59,2
60,3
61,2
62,2
64,3
65,2
66,3
67,2
68,4
69,1
70,1
71,2
72,2
73,2
74,1
75,1
76,1
77,4
78,2
79,1
80,4
81,1
83,1
84,3
85,2
87,1
88,1
91,1
93,2
94,1
95,1
96,1
97,1
98,2
100,2
104,3
105,1
107,1
108,1
113,2
116,1
118,1
122,1
127,1
128,1
129,1
132,1
133,2
137,1
141,1
146,1
148,1
149,1
150,1
153,1
155,1
171,1
173,3
176,1
177,1
178,1
180,2
187,1
191,1
192,1
196,1
197,1
200,1
205,2
206,1
208,1
212,1
218,1
221,1
241,1
252,1
255,1
260,1
261,1
269,1
272,1
284,1
289,1
328,1
342,1
353,1
372,1
377,1
388,1
446,1
549,1
578,1
