size,frequency
1,12880
2,1891
3,923
4,564
5,345
6,283
7,216
8,172
9,127
10,111
11,80
12,98
13,64
14,73
15,62
16,61
17,48
18,51
19,41
20,36
21,33
22,33
23,31
24,37
25,29
26,22
27,17
28,19
29,22
30,19
31,17
32,18
33,12
34,15
35,16
36,15
37,7
38,10
39,10
40,15
41,11
42,5
43,8
44,13
45,11
46,6
47,9
48,9
49,10
50,4
51,8
52,7
53,6
54,5
55,5
56,5
57,7
58,9
59,12
60,5
61,3
62,4
63,7
64,7
65,6
66,4
67,5
68,1
69,2
71,2
72,5
73,2
74,4
75,2
76,4
77,1
78,4
79,4
80,2
81,3
82,5
83,1
84,1
85,2
87,3
88,2
89,4
90,3
91,1
93,2
94,2
95,2
96,2
97,2
98,1
99,4
100,2
101,4
102,2
103,4
104,2
105,1
108,1
109,1
110,1
111,1
112,3
114,1
115,1
116,1
117,1
118,1
121,2
122,1
124,2
125,1
128,1
129,2
131,2
133,1
136,1
137,1
139,1
142,1
143,1
144,2
150,1
152,2
153,2
155,3
158,1
159,1
161,2
162,1
163,1
168,2
172,3
175,1
178,1
184,1
187,1
188,1
192,1
193,2
196,1
213,1
217,2
224,1
225,2
226,1
232,1
239,1
285,1
301,1
