size,frequency
1,11452
2,1680
3,797
4,520
5,355
6,280
7,193
8,156
9,121
10,123
11,102
12,94
13,72
14,76
15,47
16,57
17,40
18,42
19,30
20,29
21,29
22,29
23,30
24,23
25,19
26,22
27,24
28,18
29,18
30,29
31,10
32,13
33,17
34,14
35,8
36,10
37,14
38,13
39,8
40,8
41,6
42,10
43,5
44,7
45,7
46,8
47,10
48,6
49,6
50,8
51,10
52,8
53,5
54,7
55,4
56,3
57,9
58,2
59,7
60,4
61,1
62,2
63,1
64,3
65,2
66,6
67,5
68,2
69,4
70,9
71,4
72,1
73,1
74,3
75,4
76,3
77,5
78,2
79,1
80,1
81,1
82,3
83,1
84,1
85,1
86,1
87,6
88,4
89,3
90,3
92,5
93,3
95,3
96,2
98,3
99,1
100,1
104,1
105,2
106,1
108,2
109,2
110,2
111,4
113,2
118,1
120,1
121,1
124,2
129,1
131,2
132,1
135,1
137,1
140,1
146,2
150,1
155,1
159,1
160,1
163,1
164,1
169,1
172,1
178,1
187,1
196,1
197,1
200,1
201,1
206,1
215,2
217,1
221,1
247,1
279,1
299,1
