size,frequency
1,1170
2,187
3,110
4,62
5,49
6,26
7,21
8,20
9,13
10,19
11,9
12,12
13,13
14,6
15,10
16,9
17,2
18,6
19,7
20,4
21,6
22,2
23,3
24,8
25,1
26,4
27,5
29,1
30,1
32,4
33,1
34,4
35,2
36,3
37,1
38,1
39,2
40,4
41,4
42,1
44,1
45,2
46,1
47,4
48,2
49,2
51,1
52,1
53,2
54,2
55,1
57,1
58,1
59,1
62,1
70,1
74,1
78,1
82,1
85,1
86,2
91,2
94,2
95,1
102,1
103,1
106,1
107,2
110,1
120,1
122,1
123,1
133,1
135,1
147,1
165,1
170,1
171,2
172,1
176,1
181,1
188,1
207,1
224,1
232,1
237,1
243,1
347,1
490,1
537,1
552,1
674,1
711,1
800,1
1304,1
