period,country,sequencing_proba,R_estimate,R_lower_cred_int,R_upper_cred_int,R_Rhat,k_estimate,k_lower_cred_int,k_upper_cred_int,k_Rhat,number_yearly_mutations_estimate,number_yearly_mutations_lower_cred_int,number_yearly_mutations_upper_cred_int,number_yearly_mutations_Rhat,mutation_proba_estimate,mutation_proba_lower_cred_int,mutation_proba_upper_cred_int,mutation_proba_Rhat,testing_proba_estimate,testing_proba_lower_cred_int,testing_proba_upper_cred_int,testing_proba_Rhat,detection_proba_estimate,detection_proba_lower_cred_int,detection_proba_upper_cred_int,detection_proba_Rhat
all,New Zealand,0.40309713749413423,0.7673290389248049,0.6205709482078824,0.9966644254212044,1.0059400313451583,0.5392326257054597,0.28144215978333903,0.9219347297190932,1.002763435698959,14.008822651472892,12.981666422902148,15.02874251543378,1.0059640889269086,0.18079016496536854,0.16874419308994743,0.1926205827423884,1.0059640820987332,0.529342352565813,0.07340050339780757,0.9633728994967609,1.0080927091085328,0.21337638707369005,0.029587532810284707,0.38833285812656854,1.0080927091085328
1,New Zealand,0.25229960578186594,0.7742529463752956,0.5653319910270336,0.9947705450125195,0.9994616402258794,0.503105705440658,0.18550424261453094,0.9959237185282411,0.9987997230760907,14.004471042177318,13.033197396890161,15.015662218935752,1.001915125380994,0.180738346416132,0.16935380977421519,0.1924702170302668,1.0019014817255156,0.5096226634820717,0.08687707849884371,0.963409152314986,0.9994356828595644,0.12857759709403127,0.02191905265673849,0.2430677493357126,0.9994356828595644
2,New Zealand,0.5082212257100149,0.787907939241973,0.6208029482527193,0.9945300579221448,1.005787908739006,0.4930367739282451,0.2345135258713297,0.9384282971839989,1.0028706955317959,14.01512874228392,13.02176661852776,15.074962232323195,1.001435244592317,0.1808636941234057,0.1692186208981324,0.19315168134798438,1.0014168852608742,0.5611062993907875,0.09787490912675835,0.9811445653892381,1.007305651679379,0.2851661312299966,0.04974210628265746,0.49863849362083856,1.007305651679379
3,New Zealand,0.45879732739420936,0.7661577707662698,0.5680228648905709,0.9952517888943727,1.006154702125677,0.693568989474947,0.32090993890429764,1.249703367244516,1.003818511418921,14.007617428255415,12.986149477592,15.040759122950409,1.0004289105183701,0.18077560172074456,0.16879724586380768,0.19275869605411344,1.0004091501903873,0.44767353228175927,0.07039323030273308,0.9576433713054507,1.0065763370622476,0.20539142015599646,0.032296225929539006,0.4393642193517213,1.0065763370622476
4,New Zealand,0.4801587301587302,0.6772202017237046,0.4547142907167157,0.9187764509068154,1.00224907667123,0.3720375455944342,0.11469244236859942,0.7901860230627743,1.0011591694161703,14.015006593511629,13.043201748182376,14.93050579043304,1.0002748310350076,0.18086353012082165,0.16947211042940777,0.1914906087766714,1.000270311573276,0.5160915178002217,0.08605510153754806,0.9751591770740654,1.001517070312547,0.247805847832646,0.04132010827794966,0.4682311921665155,1.001517070312547
