"Regionskode";"Region";"Prøvetagningsdato";"Køn";"Bekræftede tilfælde i alt";"Døde";"Indlæggelser";"Kummuleret antal døde";"Kummuleret antal bekræftede tilfælde";"Kummuleret antal indlæggelser";"Timestamp"
1082;Midtjylland;2020-11-15;M;113;0;2;827;63698;4163;2024-03-12T10:02:34.147
1081;Nordjylland;2020-11-15;M;44;0;0;827;63742;4163;2024-03-12T10:02:34.147
1085;Sjælland;2020-11-15;M;60;0;2;827;63802;4165;2024-03-12T10:02:34.147
1083;Syddanmark;2020-11-15;M;70;1;3;828;63872;4168;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-11-16;F;261;0;4;828;64133;4172;2024-03-12T10:02:34.147
1082;Midtjylland;2020-11-16;F;146;0;3;828;64279;4175;2024-03-12T10:02:34.147
1081;Nordjylland;2020-11-16;F;27;0;0;828;64306;4175;2024-03-12T10:02:34.147
1085;Sjælland;2020-11-16;F;59;0;1;828;64365;4176;2024-03-12T10:02:34.147
1083;Syddanmark;2020-11-16;F;107;0;2;828;64472;4178;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-11-16;M;289;2;12;830;64761;4190;2024-03-12T10:02:34.147
1082;Midtjylland;2020-11-16;M;155;1;8;831;64916;4198;2024-03-12T10:02:34.147
1081;Nordjylland;2020-11-16;M;31;1;4;832;64947;4202;2024-03-12T10:02:34.147
1085;Sjælland;2020-11-16;M;84;0;5;832;65031;4207;2024-03-12T10:02:34.147
1083;Syddanmark;2020-11-16;M;93;0;3;832;65124;4210;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-11-17;F;277;0;15;832;65401;4225;2024-03-12T10:02:34.147
1082;Midtjylland;2020-11-17;F;148;0;4;832;65549;4229;2024-03-12T10:02:34.147
1081;Nordjylland;2020-11-17;F;34;0;1;832;65583;4230;2024-03-12T10:02:34.147
1085;Sjælland;2020-11-17;F;68;0;1;832;65651;4231;2024-03-12T10:02:34.147
1083;Syddanmark;2020-11-17;F;112;0;1;832;65763;4232;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-11-17;M;314;1;8;833;66077;4240;2024-03-12T10:02:34.147
1082;Midtjylland;2020-11-17;M;152;0;6;833;66229;4246;2024-03-12T10:02:34.147
1081;Nordjylland;2020-11-17;M;31;1;2;834;66260;4248;2024-03-12T10:02:34.147
1085;Sjælland;2020-11-17;M;69;1;3;835;66329;4251;2024-03-12T10:02:34.147
1083;Syddanmark;2020-11-17;M;126;0;4;835;66455;4255;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-11-18;F;287;0;6;835;66742;4261;2024-03-12T10:02:34.147
1082;Midtjylland;2020-11-18;F;157;1;6;836;66899;4267;2024-03-12T10:02:34.147
1081;Nordjylland;2020-11-18;F;25;0;0;836;66924;4267;2024-03-12T10:02:34.147
1085;Sjælland;2020-11-18;F;66;0;1;836;66990;4268;2024-03-12T10:02:34.147
1083;Syddanmark;2020-11-18;F;104;0;1;836;67094;4269;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-11-18;M;305;4;9;840;67399;4278;2024-03-12T10:02:34.147
1082;Midtjylland;2020-11-18;M;141;0;5;840;67540;4283;2024-03-12T10:02:34.147
1081;Nordjylland;2020-11-18;M;28;0;1;840;67568;4284;2024-03-12T10:02:34.147
1085;Sjælland;2020-11-18;M;81;0;6;840;67649;4290;2024-03-12T10:02:34.147
1083;Syddanmark;2020-11-18;M;137;0;7;840;67786;4297;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-11-19;F;282;4;8;844;68068;4305;2024-03-12T10:02:34.147
1082;Midtjylland;2020-11-19;F;131;5;3;849;68199;4308;2024-03-12T10:02:34.147
1081;Nordjylland;2020-11-19;F;25;0;3;849;68224;4311;2024-03-12T10:02:34.147
1085;Sjælland;2020-11-19;F;59;0;2;849;68283;4313;2024-03-12T10:02:34.147
1083;Syddanmark;2020-11-19;F;101;0;2;849;68384;4315;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-11-19;M;291;0;5;849;68675;4320;2024-03-12T10:02:34.147
1082;Midtjylland;2020-11-19;M;110;2;4;851;68785;4324;2024-03-12T10:02:34.147
1081;Nordjylland;2020-11-19;M;19;0;2;851;68804;4326;2024-03-12T10:02:34.147
1085;Sjælland;2020-11-19;M;81;0;4;851;68885;4330;2024-03-12T10:02:34.147
1083;Syddanmark;2020-11-19;M;122;1;4;852;69007;4334;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-11-20;F;285;6;8;858;69292;4342;2024-03-12T10:02:34.147
1082;Midtjylland;2020-11-20;F;112;5;5;863;69404;4347;2024-03-12T10:02:34.147
1081;Nordjylland;2020-11-20;F;32;1;4;864;69436;4351;2024-03-12T10:02:34.147
1085;Sjælland;2020-11-20;F;79;0;4;864;69515;4355;2024-03-12T10:02:34.147
1083;Syddanmark;2020-11-20;F;109;0;2;864;69624;4357;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-11-20;M;266;1;5;865;69890;4362;2024-03-12T10:02:34.147
1082;Midtjylland;2020-11-20;M;104;3;5;868;69994;4367;2024-03-12T10:02:34.147
1081;Nordjylland;2020-11-20;M;32;1;2;869;70026;4369;2024-03-12T10:02:34.147
1085;Sjælland;2020-11-20;M;79;1;3;870;70105;4372;2024-03-12T10:02:34.147
1083;Syddanmark;2020-11-20;M;126;1;3;871;70231;4375;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-11-21;F;235;0;9;871;70466;4384;2024-03-12T10:02:34.147
1082;Midtjylland;2020-11-21;F;80;0;1;871;70546;4385;2024-03-12T10:02:34.147
1081;Nordjylland;2020-11-21;F;17;0;2;871;70563;4387;2024-03-12T10:02:34.147
1085;Sjælland;2020-11-21;F;56;0;2;871;70619;4389;2024-03-12T10:02:34.147
1083;Syddanmark;2020-11-21;F;68;1;3;872;70687;4392;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-11-21;M;280;2;9;874;70967;4401;2024-03-12T10:02:34.147
1082;Midtjylland;2020-11-21;M;98;0;3;874;71065;4404;2024-03-12T10:02:34.147
1081;Nordjylland;2020-11-21;M;19;0;3;874;71084;4407;2024-03-12T10:02:34.147
1085;Sjælland;2020-11-21;M;55;1;0;875;71139;4407;2024-03-12T10:02:34.147
1083;Syddanmark;2020-11-21;M;93;0;1;875;71232;4408;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-11-22;F;261;1;7;876;71493;4415;2024-03-12T10:02:34.147
1082;Midtjylland;2020-11-22;F;99;0;2;876;71592;4417;2024-03-12T10:02:34.147
1081;Nordjylland;2020-11-22;F;23;0;2;876;71615;4419;2024-03-12T10:02:34.147
1085;Sjælland;2020-11-22;F;39;1;1;877;71654;4420;2024-03-12T10:02:34.147
1083;Syddanmark;2020-11-22;F;76;0;1;877;71730;4421;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-11-22;M;254;4;12;881;71984;4433;2024-03-12T10:02:34.147
1082;Midtjylland;2020-11-22;M;93;0;1;881;72077;4434;2024-03-12T10:02:34.147
1081;Nordjylland;2020-11-22;M;15;0;1;881;72092;4435;2024-03-12T10:02:34.147
1085;Sjælland;2020-11-22;M;56;0;3;881;72148;4438;2024-03-12T10:02:34.147
1083;Syddanmark;2020-11-22;M;93;0;2;881;72241;4440;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-11-23;F;292;3;10;884;72533;4450;2024-03-12T10:02:34.147
1082;Midtjylland;2020-11-23;F;97;0;2;884;72630;4452;2024-03-12T10:02:34.147
1081;Nordjylland;2020-11-23;F;20;0;1;884;72650;4453;2024-03-12T10:02:34.147
1085;Sjælland;2020-11-23;F;76;1;3;885;72726;4456;2024-03-12T10:02:34.147
1083;Syddanmark;2020-11-23;F;115;1;7;886;72841;4463;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-11-23;M;300;3;8;889;73141;4471;2024-03-12T10:02:34.147
1082;Midtjylland;2020-11-23;M;94;2;5;891;73235;4476;2024-03-12T10:02:34.147
1081;Nordjylland;2020-11-23;M;15;0;0;891;73250;4476;2024-03-12T10:02:34.147
1085;Sjælland;2020-11-23;M;68;0;2;891;73318;4478;2024-03-12T10:02:34.147
1083;Syddanmark;2020-11-23;M;112;0;2;891;73430;4480;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-11-24;F;337;3;4;894;73767;4484;2024-03-12T10:02:34.147
1082;Midtjylland;2020-11-24;F;123;1;2;895;73890;4486;2024-03-12T10:02:34.147
1081;Nordjylland;2020-11-24;F;21;0;0;895;73911;4486;2024-03-12T10:02:34.147
1085;Sjælland;2020-11-24;F;77;0;2;895;73988;4488;2024-03-12T10:02:34.147
1083;Syddanmark;2020-11-24;F;96;0;0;895;74084;4488;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-11-24;M;337;1;17;896;74421;4505;2024-03-12T10:02:34.147
1082;Midtjylland;2020-11-24;M;115;1;6;897;74536;4511;2024-03-12T10:02:34.147
1081;Nordjylland;2020-11-24;M;21;0;0;897;74557;4511;2024-03-12T10:02:34.147
1085;Sjælland;2020-11-24;M;74;0;3;897;74631;4514;2024-03-12T10:02:34.147
1083;Syddanmark;2020-11-24;M;128;0;6;897;74759;4520;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-11-25;F;334;1;4;898;75093;4524;2024-03-12T10:02:34.147
1082;Midtjylland;2020-11-25;F;100;0;5;898;75193;4529;2024-03-12T10:02:34.147
1081;Nordjylland;2020-11-25;F;26;0;1;898;75219;4530;2024-03-12T10:02:34.147
1085;Sjælland;2020-11-25;F;81;0;2;898;75300;4532;2024-03-12T10:02:34.147
1083;Syddanmark;2020-11-25;F;89;0;2;898;75389;4534;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-11-25;M;335;0;5;898;75724;4539;2024-03-12T10:02:34.147
1082;Midtjylland;2020-11-25;M;135;2;6;900;75859;4545;2024-03-12T10:02:34.147
1081;Nordjylland;2020-11-25;M;20;1;2;901;75879;4547;2024-03-12T10:02:34.147
1085;Sjælland;2020-11-25;M;89;3;7;904;75968;4554;2024-03-12T10:02:34.147
1083;Syddanmark;2020-11-25;M;107;1;8;905;76075;4562;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-11-26;F;319;0;4;905;76394;4566;2024-03-12T10:02:34.147
1082;Midtjylland;2020-11-26;F;117;2;5;907;76511;4571;2024-03-12T10:02:34.147
1081;Nordjylland;2020-11-26;F;25;0;1;907;76536;4572;2024-03-12T10:02:34.147
1085;Sjælland;2020-11-26;F;94;0;3;907;76630;4575;2024-03-12T10:02:34.147
1083;Syddanmark;2020-11-26;F;99;0;3;907;76729;4578;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-11-26;M;300;5;11;912;77029;4589;2024-03-12T10:02:34.147
1082;Midtjylland;2020-11-26;M;130;0;2;912;77159;4591;2024-03-12T10:02:34.147
1081;Nordjylland;2020-11-26;M;20;0;0;912;77179;4591;2024-03-12T10:02:34.147
1085;Sjælland;2020-11-26;M;71;1;5;913;77250;4596;2024-03-12T10:02:34.147
1083;Syddanmark;2020-11-26;M;82;0;2;913;77332;4598;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-11-27;F;345;7;13;920;77677;4611;2024-03-12T10:02:34.147
1082;Midtjylland;2020-11-27;F;115;1;4;921;77792;4615;2024-03-12T10:02:34.147
1081;Nordjylland;2020-11-27;F;16;0;2;921;77808;4617;2024-03-12T10:02:34.147
1085;Sjælland;2020-11-27;F;60;0;1;921;77868;4618;2024-03-12T10:02:34.147
1083;Syddanmark;2020-11-27;F;111;1;4;922;77979;4622;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-11-27;M;349;0;10;922;78328;4632;2024-03-12T10:02:34.147
1082;Midtjylland;2020-11-27;M;116;3;6;925;78444;4638;2024-03-12T10:02:34.147
1081;Nordjylland;2020-11-27;M;22;0;0;925;78466;4638;2024-03-12T10:02:34.147
1085;Sjælland;2020-11-27;M;74;0;4;925;78540;4642;2024-03-12T10:02:34.147
1083;Syddanmark;2020-11-27;M;102;0;3;925;78642;4645;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-11-28;F;313;0;6;925;78955;4651;2024-03-12T10:02:34.147
1082;Midtjylland;2020-11-28;F;98;0;0;925;79053;4651;2024-03-12T10:02:34.147
1081;Nordjylland;2020-11-28;F;13;0;0;925;79066;4651;2024-03-12T10:02:34.147
1085;Sjælland;2020-11-28;F;67;0;1;925;79133;4652;2024-03-12T10:02:34.147
1083;Syddanmark;2020-11-28;F;66;0;1;925;79199;4653;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-11-28;M;315;1;10;926;79514;4663;2024-03-12T10:02:34.147
1082;Midtjylland;2020-11-28;M;114;1;4;927;79628;4667;2024-03-12T10:02:34.147
1081;Nordjylland;2020-11-28;M;13;0;1;927;79641;4668;2024-03-12T10:02:34.147
1085;Sjælland;2020-11-28;M;79;0;3;927;79720;4671;2024-03-12T10:02:34.147
1083;Syddanmark;2020-11-28;M;73;1;3;928;79793;4674;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-11-29;F;326;0;6;928;80119;4680;2024-03-12T10:02:34.147
1082;Midtjylland;2020-11-29;F;76;0;3;928;80195;4683;2024-03-12T10:02:34.147
1081;Nordjylland;2020-11-29;F;12;0;0;928;80207;4683;2024-03-12T10:02:34.147
1085;Sjælland;2020-11-29;F;63;3;4;931;80270;4687;2024-03-12T10:02:34.147
1083;Syddanmark;2020-11-29;F;70;0;1;931;80340;4688;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-11-29;M;348;3;4;934;80688;4692;2024-03-12T10:02:34.147
1082;Midtjylland;2020-11-29;M;109;1;4;935;80797;4696;2024-03-12T10:02:34.147
1081;Nordjylland;2020-11-29;M;25;0;1;935;80822;4697;2024-03-12T10:02:34.147
1085;Sjælland;2020-11-29;M;80;1;2;936;80902;4699;2024-03-12T10:02:34.147
1083;Syddanmark;2020-11-29;M;64;0;1;936;80966;4700;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-11-30;F;408;5;15;941;81374;4715;2024-03-12T10:02:34.147
1082;Midtjylland;2020-11-30;F;160;2;6;943;81534;4721;2024-03-12T10:02:34.147
1081;Nordjylland;2020-11-30;F;24;0;0;943;81558;4721;2024-03-12T10:02:34.147
1085;Sjælland;2020-11-30;F;110;0;3;943;81668;4724;2024-03-12T10:02:34.147
1083;Syddanmark;2020-11-30;F;94;0;3;943;81762;4727;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-11-30;M;353;4;7;947;82115;4734;2024-03-12T10:02:34.147
1082;Midtjylland;2020-11-30;M;166;3;5;950;82281;4739;2024-03-12T10:02:34.147
1081;Nordjylland;2020-11-30;M;15;0;0;950;82296;4739;2024-03-12T10:02:34.147
1085;Sjælland;2020-11-30;M;96;0;3;950;82392;4742;2024-03-12T10:02:34.147
1083;Syddanmark;2020-11-30;M;105;0;4;950;82497;4746;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-12-01;F;500;2;14;952;82997;4760;2024-03-12T10:02:34.147
1082;Midtjylland;2020-12-01;F;148;1;8;953;83145;4768;2024-03-12T10:02:34.147
1081;Nordjylland;2020-12-01;F;29;0;1;953;83174;4769;2024-03-12T10:02:34.147
1085;Sjælland;2020-12-01;F;101;0;3;953;83275;4772;2024-03-12T10:02:34.147
1083;Syddanmark;2020-12-01;F;93;0;3;953;83368;4775;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-12-01;M;460;1;4;954;83828;4779;2024-03-12T10:02:34.147
1082;Midtjylland;2020-12-01;M;144;1;6;955;83972;4785;2024-03-12T10:02:34.147
1081;Nordjylland;2020-12-01;M;18;0;1;955;83990;4786;2024-03-12T10:02:34.147
1085;Sjælland;2020-12-01;M;106;1;4;956;84096;4790;2024-03-12T10:02:34.147
1083;Syddanmark;2020-12-01;M;115;0;4;956;84211;4794;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-12-02;F;504;1;9;957;84715;4803;2024-03-12T10:02:34.147
1082;Midtjylland;2020-12-02;F;171;0;4;957;84886;4807;2024-03-12T10:02:34.147
1081;Nordjylland;2020-12-02;F;30;0;0;957;84916;4807;2024-03-12T10:02:34.147
1085;Sjælland;2020-12-02;F;146;0;3;957;85062;4810;2024-03-12T10:02:34.147
1083;Syddanmark;2020-12-02;F;85;2;5;959;85147;4815;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-12-02;M;526;2;17;961;85673;4832;2024-03-12T10:02:34.147
1082;Midtjylland;2020-12-02;M;155;0;8;961;85828;4840;2024-03-12T10:02:34.147
1081;Nordjylland;2020-12-02;M;30;0;0;961;85858;4840;2024-03-12T10:02:34.147
1085;Sjælland;2020-12-02;M;122;1;4;962;85980;4844;2024-03-12T10:02:34.147
1083;Syddanmark;2020-12-02;M;111;1;2;963;86091;4846;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-12-03;F;536;2;14;965;86627;4860;2024-03-12T10:02:34.147
1082;Midtjylland;2020-12-03;F;155;0;5;965;86782;4865;2024-03-12T10:02:34.147
1081;Nordjylland;2020-12-03;F;23;0;0;965;86805;4865;2024-03-12T10:02:34.147
1085;Sjælland;2020-12-03;F;126;1;4;966;86931;4869;2024-03-12T10:02:34.147
1083;Syddanmark;2020-12-03;F;131;0;4;966;87062;4873;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-12-03;M;490;2;14;968;87552;4887;2024-03-12T10:02:34.147
1082;Midtjylland;2020-12-03;M;177;3;6;971;87729;4893;2024-03-12T10:02:34.147
1081;Nordjylland;2020-12-03;M;30;0;0;971;87759;4893;2024-03-12T10:02:34.147
1085;Sjælland;2020-12-03;M;123;0;4;971;87882;4897;2024-03-12T10:02:34.147
1083;Syddanmark;2020-12-03;M;117;0;3;971;87999;4900;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-12-04;F;528;2;18;973;88527;4918;2024-03-12T10:02:34.147
1082;Midtjylland;2020-12-04;F;208;1;5;974;88735;4923;2024-03-12T10:02:34.147
1081;Nordjylland;2020-12-04;F;26;0;1;974;88761;4924;2024-03-12T10:02:34.147
1085;Sjælland;2020-12-04;F;139;0;2;974;88900;4926;2024-03-12T10:02:34.147
1083;Syddanmark;2020-12-04;F;106;0;2;974;89006;4928;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-12-04;M;530;4;16;978;89536;4944;2024-03-12T10:02:34.147
1082;Midtjylland;2020-12-04;M;195;1;7;979;89731;4951;2024-03-12T10:02:34.147
1081;Nordjylland;2020-12-04;M;39;0;0;979;89770;4951;2024-03-12T10:02:34.147
1085;Sjælland;2020-12-04;M;125;0;4;979;89895;4955;2024-03-12T10:02:34.147
1083;Syddanmark;2020-12-04;M;122;0;1;979;90017;4956;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-12-05;F;483;6;12;985;90500;4968;2024-03-12T10:02:34.147
1082;Midtjylland;2020-12-05;F;138;3;4;988;90638;4972;2024-03-12T10:02:34.147
1081;Nordjylland;2020-12-05;F;25;0;0;988;90663;4972;2024-03-12T10:02:34.147
1085;Sjælland;2020-12-05;F;150;2;6;990;90813;4978;2024-03-12T10:02:34.147
1083;Syddanmark;2020-12-05;F;75;1;2;991;90888;4980;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-12-05;M;492;5;17;996;91380;4997;2024-03-12T10:02:34.147
1082;Midtjylland;2020-12-05;M;128;0;6;996;91508;5003;2024-03-12T10:02:34.147
1081;Nordjylland;2020-12-05;M;28;1;3;997;91536;5006;2024-03-12T10:02:34.147
1085;Sjælland;2020-12-05;M;117;1;6;998;91653;5012;2024-03-12T10:02:34.147
1083;Syddanmark;2020-12-05;M;80;0;4;998;91733;5016;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-12-06;F;600;2;14;1000;92333;5030;2024-03-12T10:02:34.147
1082;Midtjylland;2020-12-06;F;163;0;4;1000;92496;5034;2024-03-12T10:02:34.147
1081;Nordjylland;2020-12-06;F;42;1;0;1001;92538;5034;2024-03-12T10:02:34.147
1085;Sjælland;2020-12-06;F;136;0;3;1001;92674;5037;2024-03-12T10:02:34.147
1083;Syddanmark;2020-12-06;F;90;0;1;1001;92764;5038;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-12-06;M;513;5;22;1006;93277;5060;2024-03-12T10:02:34.147
1082;Midtjylland;2020-12-06;M;142;0;2;1006;93419;5062;2024-03-12T10:02:34.147
1081;Nordjylland;2020-12-06;M;28;0;0;1006;93447;5062;2024-03-12T10:02:34.147
1085;Sjælland;2020-12-06;M;138;1;7;1007;93585;5069;2024-03-12T10:02:34.147
1083;Syddanmark;2020-12-06;M;124;1;4;1008;93709;5073;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-12-07;F;759;11;28;1019;94468;5101;2024-03-12T10:02:34.147
1082;Midtjylland;2020-12-07;F;230;1;3;1020;94698;5104;2024-03-12T10:02:34.147
1081;Nordjylland;2020-12-07;F;47;0;1;1020;94745;5105;2024-03-12T10:02:34.147
1085;Sjælland;2020-12-07;F;198;0;8;1020;94943;5113;2024-03-12T10:02:34.147
1083;Syddanmark;2020-12-07;F;159;0;4;1020;95102;5117;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-12-07;M;754;8;26;1028;95856;5143;2024-03-12T10:02:34.147
1082;Midtjylland;2020-12-07;M;213;0;3;1028;96069;5146;2024-03-12T10:02:34.147
1081;Nordjylland;2020-12-07;M;58;1;2;1029;96127;5148;2024-03-12T10:02:34.147
1085;Sjælland;2020-12-07;M;184;0;7;1029;96311;5155;2024-03-12T10:02:34.147
1083;Syddanmark;2020-12-07;M;150;1;8;1030;96461;5163;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-12-08;F;862;5;19;1035;97323;5182;2024-03-12T10:02:34.147
1082;Midtjylland;2020-12-08;F;265;0;5;1035;97588;5187;2024-03-12T10:02:34.147
1081;Nordjylland;2020-12-08;F;78;0;3;1035;97666;5190;2024-03-12T10:02:34.147
1085;Sjælland;2020-12-08;F;232;1;6;1036;97898;5196;2024-03-12T10:02:34.147
1083;Syddanmark;2020-12-08;F;156;1;7;1037;98054;5203;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-12-08;M;809;7;25;1044;98863;5228;2024-03-12T10:02:34.147
1082;Midtjylland;2020-12-08;M;254;1;4;1045;99117;5232;2024-03-12T10:02:34.147
1081;Nordjylland;2020-12-08;M;61;0;2;1045;99178;5234;2024-03-12T10:02:34.147
1085;Sjælland;2020-12-08;M;234;1;4;1046;99412;5238;2024-03-12T10:02:34.147
1083;Syddanmark;2020-12-08;M;174;0;1;1046;99586;5239;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-12-09;F;839;2;22;1048;100425;5261;2024-03-12T10:02:34.147
1082;Midtjylland;2020-12-09;F;304;3;4;1051;100729;5265;2024-03-12T10:02:34.147
1081;Nordjylland;2020-12-09;F;66;0;0;1051;100795;5265;2024-03-12T10:02:34.147
1085;Sjælland;2020-12-09;F;228;1;10;1052;101023;5275;2024-03-12T10:02:34.147
1083;Syddanmark;2020-12-09;F;173;0;2;1052;101196;5277;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-12-09;M;857;4;17;1056;102053;5294;2024-03-12T10:02:34.147
1082;Midtjylland;2020-12-09;M;274;1;8;1057;102327;5302;2024-03-12T10:02:34.147
1081;Nordjylland;2020-12-09;M;79;0;1;1057;102406;5303;2024-03-12T10:02:34.147
1085;Sjælland;2020-12-09;M;213;2;7;1059;102619;5310;2024-03-12T10:02:34.147
1083;Syddanmark;2020-12-09;M;160;0;2;1059;102779;5312;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-12-10;F;947;9;20;1068;103726;5332;2024-03-12T10:02:34.147
1082;Midtjylland;2020-12-10;F;321;1;6;1069;104047;5338;2024-03-12T10:02:34.147
1081;Nordjylland;2020-12-10;F;78;0;4;1069;104125;5342;2024-03-12T10:02:34.147
1085;Sjælland;2020-12-10;F;243;1;5;1070;104368;5347;2024-03-12T10:02:34.147
1083;Syddanmark;2020-12-10;F;147;2;5;1072;104515;5352;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-12-10;M;862;8;25;1080;105377;5377;2024-03-12T10:02:34.147
1082;Midtjylland;2020-12-10;M;279;2;4;1082;105656;5381;2024-03-12T10:02:34.147
1081;Nordjylland;2020-12-10;M;88;1;1;1083;105744;5382;2024-03-12T10:02:34.147
1085;Sjælland;2020-12-10;M;184;1;11;1084;105928;5393;2024-03-12T10:02:34.147
1083;Syddanmark;2020-12-10;M;135;0;4;1084;106063;5397;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-12-11;F;840;7;24;1091;106903;5421;2024-03-12T10:02:34.147
1082;Midtjylland;2020-12-11;F;304;0;9;1091;107207;5430;2024-03-12T10:02:34.147
1081;Nordjylland;2020-12-11;F;58;1;0;1092;107265;5430;2024-03-12T10:02:34.147
1085;Sjælland;2020-12-11;F;255;2;7;1094;107520;5437;2024-03-12T10:02:34.147
1083;Syddanmark;2020-12-11;F;166;1;5;1095;107686;5442;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-12-11;M;901;6;34;1101;108587;5476;2024-03-12T10:02:34.147
1082;Midtjylland;2020-12-11;M;279;0;10;1101;108866;5486;2024-03-12T10:02:34.147
1081;Nordjylland;2020-12-11;M;67;0;1;1101;108933;5487;2024-03-12T10:02:34.147
1085;Sjælland;2020-12-11;M;251;1;8;1102;109184;5495;2024-03-12T10:02:34.147
1083;Syddanmark;2020-12-11;M;175;0;5;1102;109359;5500;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-12-12;F;857;3;27;1105;110216;5527;2024-03-12T10:02:34.147
1082;Midtjylland;2020-12-12;F;267;0;2;1105;110483;5529;2024-03-12T10:02:34.147
1081;Nordjylland;2020-12-12;F;76;0;1;1105;110559;5530;2024-03-12T10:02:34.147
1085;Sjælland;2020-12-12;F;225;0;0;1105;110784;5530;2024-03-12T10:02:34.147
1083;Syddanmark;2020-12-12;F;150;0;3;1105;110934;5533;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-12-12;M;828;3;13;1108;111762;5546;2024-03-12T10:02:34.147
1082;Midtjylland;2020-12-12;M;277;1;8;1109;112039;5554;2024-03-12T10:02:34.147
1081;Nordjylland;2020-12-12;M;84;1;4;1110;112123;5558;2024-03-12T10:02:34.147
1085;Sjælland;2020-12-12;M;187;0;5;1110;112310;5563;2024-03-12T10:02:34.147
1083;Syddanmark;2020-12-12;M;138;0;3;1110;112448;5566;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-12-13;F;967;8;33;1118;113415;5599;2024-03-12T10:02:34.147
1082;Midtjylland;2020-12-13;F;245;2;5;1120;113660;5604;2024-03-12T10:02:34.147
1081;Nordjylland;2020-12-13;F;61;0;3;1120;113721;5607;2024-03-12T10:02:34.147
1085;Sjælland;2020-12-13;F;207;0;3;1120;113928;5610;2024-03-12T10:02:34.147
1083;Syddanmark;2020-12-13;F;152;0;1;1120;114080;5611;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-12-13;M;925;7;27;1127;115005;5638;2024-03-12T10:02:34.147
1082;Midtjylland;2020-12-13;M;231;1;7;1128;115236;5645;2024-03-12T10:02:34.147
1081;Nordjylland;2020-12-13;M;62;2;6;1130;115298;5651;2024-03-12T10:02:34.147
1085;Sjælland;2020-12-13;M;169;0;11;1130;115467;5662;2024-03-12T10:02:34.147
1083;Syddanmark;2020-12-13;M;147;1;6;1131;115614;5668;2024-03-12T10:02:34.147
1084;Hovedstaden;2020-12-14;F;1035;7;30;1138;116649;5698;2024-03-12T10:02:34.147
1082;Midtjylland;2020-12-14;F;381;1;10;1139;117030;5708;2024-03-12T10:02:34.147
1081;Nordjylland;2020-12-14;F;94;1;3;1140;117124;5711;2024-03-12T10:02:34.147
