size,frequency
1,17799
2,2986
3,1448
4,824
5,555
6,385
7,298
8,223
9,195
10,143
11,124
12,106
13,88
14,77
15,62
16,39
17,44
18,37
19,25
20,27
21,28
22,24
23,19
24,21
25,15
26,18
27,20
28,8
29,6
30,8
31,8
32,9
33,5
34,6
35,3
36,2
37,7
38,4
39,6
40,1
41,4
42,3
43,2
44,1
45,6
46,2
47,2
48,3
49,1
50,2
51,1
52,2
53,3
54,2
55,3
56,1
57,3
58,2
59,3
63,1
64,1
68,1
69,1
70,1
71,2
78,1
83,1
85,1
95,1
97,1
98,1
99,1
104,1
