size,frequency
1,2111
2,248
3,104
4,85
5,58
6,37
7,36
8,30
9,15
10,14
11,16
12,12
13,11
14,13
15,14
16,7
17,5
18,6
19,5
20,5
21,3
22,4
23,4
24,1
25,3
26,5
27,4
28,1
29,3
30,3
31,4
32,2
33,2
34,3
35,3
36,2
37,1
38,1
39,3
40,4
41,2
42,3
43,1
44,1
45,3
46,2
47,3
49,1
50,1
52,1
54,3
55,2
58,2
59,2
60,1
61,1
62,1
63,1
64,1
65,1
66,2
68,2
69,2
71,1
72,1
74,1
78,2
80,3
81,1
82,1
83,3
87,1
88,1
90,1
96,2
97,1
111,1
120,1
121,1
122,1
123,1
124,1
128,2
131,1
143,2
148,1
152,1
153,1
154,1
173,1
184,1
185,1
186,1
191,1
197,1
205,1
210,1
212,1
233,1
235,1
240,2
241,1
245,1
256,1
257,1
271,1
274,1
342,1
357,1
367,1
368,1
377,1
437,1
458,1
473,1
482,1
540,1
549,1
622,1
654,1
664,1
798,1
847,1
1038,1
1164,1
1267,1
1500,1
