size,frequency
1,1797
2,339
3,180
4,110
5,70
6,62
7,47
8,37
9,33
10,21
11,19
12,19
13,17
14,9
15,15
16,10
17,6
18,20
19,13
20,9
21,3
22,12
23,5
24,4
25,2
26,5
27,2
28,4
29,6
30,4
31,9
32,2
33,3
34,4
35,2
36,7
37,3
38,5
39,1
40,5
41,2
42,4
43,1
44,1
45,5
47,2
48,1
49,3
51,3
52,1
53,2
54,2
55,1
56,2
57,1
58,3
59,2
60,2
61,6
62,1
63,1
64,1
68,1
73,1
79,2
84,1
86,1
87,1
90,1
94,1
100,1
104,1
110,3
112,1
117,1
118,1
122,1
124,1
129,1
132,1
136,1
140,1
149,1
151,1
160,1
176,1
196,1
203,1
227,1
243,1
279,1
