size,frequency
1,1659
2,352
3,180
4,125
5,86
6,62
7,42
8,41
9,34
10,34
11,34
12,16
13,16
14,13
15,16
16,15
17,15
18,11
19,14
20,6
21,5
22,6
23,3
24,7
25,6
26,4
27,8
28,7
29,5
30,4
31,7
32,4
33,4
34,3
35,3
36,4
37,2
38,4
39,4
40,2
41,2
42,6
43,4
44,2
45,3
46,4
47,1
48,2
49,2
50,3
51,1
52,3
54,4
55,3
58,1
60,1
61,3
63,2
66,1
69,2
70,2
71,2
72,1
74,2
75,2
76,2
77,1
78,2
79,1
80,4
81,2
83,1
85,1
89,1
90,1
93,2
94,1
95,1
96,2
97,2
98,1
99,1
101,1
105,1
109,1
113,2
115,1
119,1
121,1
125,3
127,1
129,1
133,1
138,1
146,1
147,1
148,1
149,1
153,1
160,2
161,1
165,1
167,1
175,1
179,1
186,1
188,1
192,1
193,2
197,1
199,1
202,1
205,1
209,1
210,1
224,1
236,1
242,1
249,1
276,1
292,1
297,1
322,1
371,1
392,1
394,1
457,1
494,1
531,1
