size,frequency
1,1730
2,384
3,199
4,91
5,86
6,69
7,46
8,31
9,31
10,30
11,17
12,24
13,12
14,11
15,12
16,12
17,9
18,7
19,10
20,11
21,7
22,5
23,7
24,3
25,8
26,5
27,7
28,8
29,7
30,3
31,2
32,3
33,1
34,2
35,6
36,3
37,1
38,2
39,2
40,2
41,5
42,2
43,1
44,2
45,1
46,2
47,2
48,1
49,1
50,2
51,2
53,1
54,1
55,2
56,1
57,1
58,2
59,2
60,1
61,3
62,2
63,2
64,1
65,1
66,2
67,2
69,2
70,2
72,3
74,3
75,2
76,1
78,1
80,3
81,1
82,1
83,1
88,1
91,2
92,1
94,1
97,2
98,1
99,1
100,1
107,1
108,1
110,1
115,1
116,1
121,1
125,1
132,1
143,1
148,1
149,1
156,1
168,1
175,1
191,1
200,1
202,1
226,1
361,1
