size,frequency
1,13278
2,2196
3,1051
4,635
5,456
6,329
7,274
8,195
9,189
10,136
11,129
12,106
13,87
14,83
15,66
16,67
17,56
18,51
19,39
20,46
21,56
22,32
23,38
24,34
25,28
26,19
27,16
28,21
29,19
30,22
31,14
32,16
33,17
34,13
35,12
36,19
37,9
38,10
39,14
40,18
41,13
42,13
43,9
44,5
45,7
46,11
47,9
48,10
49,4
50,8
51,6
52,9
53,8
54,9
55,7
56,6
57,2
58,5
59,8
60,3
61,5
62,1
63,3
64,2
65,4
66,7
67,2
68,2
69,3
70,3
71,4
72,5
73,5
74,3
75,3
76,1
77,4
78,3
79,2
80,3
81,1
82,3
83,2
84,2
85,1
86,3
87,3
88,3
90,3
91,3
92,2
93,2
94,1
95,2
97,1
98,1
100,1
101,2
102,3
104,1
107,2
109,2
115,2
120,2
122,1
123,2
125,1
126,1
128,1
130,2
131,2
132,1
133,1
137,2
138,1
141,2
143,1
146,1
147,1
151,1
152,1
155,1
159,1
160,1
162,1
165,1
169,1
179,1
183,1
187,1
200,1
214,1
220,1
245,1
255,1
272,1
298,1
335,1
402,1
455,1
