size,frequency
1,11904
2,2141
3,1008
4,616
5,437
6,325
7,234
8,190
9,156
10,129
11,96
12,100
13,75
14,67
15,60
16,45
17,42
18,37
19,44
20,44
21,37
22,22
23,25
24,25
25,32
26,18
27,21
28,18
29,23
30,16
31,8
32,5
33,15
34,8
35,14
36,10
37,9
38,6
39,3
40,8
41,10
42,6
43,7
44,12
45,4
46,8
47,7
48,4
49,3
50,4
51,2
52,6
54,6
55,2
56,2
57,4
58,1
59,4
60,1
61,2
62,5
63,3
64,1
65,1
66,1
67,1
69,1
70,3
71,2
72,4
73,3
74,1
75,2
76,1
77,2
78,2
79,2
81,1
83,1
84,1
85,2
86,1
87,1
91,1
93,1
94,1
97,1
99,1
101,1
104,1
108,1
109,1
110,1
113,2
114,1
126,1
132,1
136,1
140,1
143,2
159,1
160,1
165,1
208,1
242,1
