size,frequency
1,8109
2,1185
3,597
4,354
5,277
6,184
7,127
8,102
9,99
10,67
11,61
12,60
13,53
14,39
15,29
16,31
17,32
18,17
19,34
20,23
21,19
22,13
23,16
24,28
25,14
26,9
27,10
28,11
29,14
30,20
31,7
32,12
33,10
34,12
35,8
36,6
37,4
38,9
39,7
40,9
41,5
42,10
43,4
44,8
45,4
46,7
47,4
48,4
49,3
50,1
51,3
52,4
53,1
54,4
55,3
56,2
57,2
58,4
59,2
60,2
61,2
62,4
63,4
64,3
67,4
68,2
69,3
70,2
72,1
74,1
75,2
76,3
77,1
78,1
80,1
81,1
82,2
83,1
84,2
85,1
87,1
88,1
91,1
92,1
94,1
95,2
96,4
98,1
99,1
100,1
104,1
105,1
106,1
110,1
116,1
117,1
123,2
130,1
142,1
148,1
159,1
164,1
169,1
171,1
172,1
173,1
206,1
207,1
236,1
