size,frequency
1,18896
2,3114
3,1517
4,877
5,567
6,436
7,334
8,248
9,224
10,186
11,145
12,134
13,135
14,99
15,87
16,77
17,60
18,65
19,54
20,53
21,37
22,42
23,41
24,29
25,25
26,28
27,25
28,24
29,16
30,17
31,18
32,23
33,16
34,7
35,7
36,18
37,13
38,9
39,11
40,8
41,11
42,4
43,3
44,8
45,7
46,2
47,1
48,7
49,6
50,3
51,3
52,3
53,1
54,5
55,4
56,2
57,1
58,3
59,1
60,2
61,3
63,3
64,3
66,2
67,1
68,3
69,2
70,1
71,1
74,1
76,1
77,2
78,1
80,1
81,2
82,1
83,3
85,1
87,1
88,2
92,1
93,1
95,1
96,1
112,2
113,1
121,1
130,1
158,1
