size,frequency
1,29233
2,3244
3,1612
4,965
5,647
6,486
7,367
8,272
9,236
10,205
11,165
12,136
13,122
14,102
15,103
16,82
17,75
18,73
19,62
20,45
21,42
22,32
23,35
24,23
25,26
26,31
27,26
28,20
29,25
30,30
31,20
32,22
33,16
34,13
35,11
36,8
37,15
38,10
39,18
40,9
41,10
42,9
43,11
44,9
45,7
46,10
47,5
48,9
49,4
50,10
51,7
52,4
53,6
54,2
55,3
56,4
57,1
58,2
59,4
60,3
61,3
62,4
64,2
65,5
66,2
67,3
68,4
69,1
71,1
72,1
73,1
74,3
75,1
77,1
78,3
79,1
81,1
84,2
85,1
89,1
91,1
96,1
107,1
110,1
119,1
122,1
129,1
132,1
