size,frequency
1,12019
2,2016
3,1017
4,640
5,412
6,297
7,255
8,211
9,150
10,142
11,99
12,101
13,82
14,58
15,71
16,51
17,53
18,36
19,29
20,40
21,21
22,30
23,30
24,18
25,30
26,20
27,13
28,11
29,12
30,12
31,11
32,18
33,16
34,9
35,11
36,9
37,7
38,8
39,4
40,6
41,5
42,4
43,3
44,9
45,11
46,4
47,5
48,5
49,5
50,9
51,4
52,4
53,4
54,2
55,6
56,1
57,4
58,3
59,2
60,5
61,4
62,1
63,2
64,1
65,2
66,2
67,1
68,1
69,2
70,4
71,2
72,1
73,2
74,1
75,2
76,1
77,2
78,3
79,2
80,2
83,1
84,1
85,1
86,2
90,1
91,1
94,2
95,1
96,1
99,1
100,2
104,1
105,1
109,1
114,1
117,1
138,2
148,1
151,1
153,1
169,1
224,1
