R,k,yearly_mutation_rate,mean_generation_interval,testing_proba,sequencing_proba,n_clusters,max_cluster_size,mutation_proba,detection_proba,n_divergent_transitions,R_estimate,R_lower_cred_int,R_upper_cred_int,min_R_Rhat,max_R_Rhat,k_estimate,k_lower_cred_int,k_upper_cred_int,min_k_Rhat,max_k_Rhat,number_yearly_mutations_estimate,number_yearly_mutations_lower_cred_int,number_yearly_mutations_upper_cred_int,min_number_yearly_mutations_Rhat,max_number_yearly_mutations_Rhat,mutation_proba_estimate,mutation_proba_lower_cred_int,mutation_proba_upper_cred_int,min_mutation_proba_Rhat,max_mutation_proba_Rhat,testing_proba_estimate,testing_proba_lower_cred_int,testing_proba_upper_cred_int,min_testing_proba_Rhat,max_testing_proba_Rhat,detection_proba_estimate,detection_proba_lower_cred_int,detection_proba_upper_cred_int,min_detection_proba_Rhat,max_detection_proba_Rhat
0.7,0.1,14,5.2,0.1,0.01,3000,1500,0.180709,0.001,0,0.6527368449993464,0.4346302421998185,0.9095418398645694,1.0000689651509644,1.0043756977923672,0.5401709998197988,0.189770249684076,1.0640840149493649,0.9993105020627773,1.003682359651448,14.020358483315404,13.034451491428964,15.024440912259323,0.999363842968855,1.008287695528426,0.18092518622174258,0.16936864030977186,0.19257113638860177,0.9993408188951346,1.0083008771417483,0.41150024550389763,0.06834868559821239,0.9431701706244832,1.0002610174251094,1.0053369566202572,0.0041150024550389765,6.834868559821239e-4,0.009431701706244832,1.0002610174251094,1.0053369566202572
0.9,0.1,14,5.2,0.1,0.01,3000,1500,0.180709,0.001,0,0.81613182951439,0.6650268678258041,1.017984465952263,1.000235753644332,1.0087382403432017,0.4824937399227096,0.15956980001773957,0.9984516111917875,0.9991564034124036,1.0035607406727551,13.99960563907999,13.017827704798089,14.959868156592599,0.9997507466403207,1.002989856956113,0.1806838214104779,0.16917203158350508,0.19182851688507127,0.9997611342414238,1.00299444491915,0.5604979919525787,0.09489620233522286,0.977699674743072,0.999269530975632,1.0088995255547029,0.005604979919525787,9.489620233522286e-4,0.009776996747430721,0.999269530975632,1.0088995255547029
1.1,0.1,14,5.2,0.1,0.01,3000,1500,0.180709,0.001,0,1.0513064409601267,0.9683162390644916,1.1381703881753273,1.0012043066811152,1.0112584775229667,0.4298890654811812,0.13915106882989983,0.912474343415539,0.9994940313556083,1.004435242011978,14.002100427667687,13.026552261148588,14.988339545182694,0.9996646051388374,1.002630783015059,0.18071242060333545,0.16927522229512035,0.19215603646926974,0.9996892695238185,1.0026265636270182,0.6329588364059454,0.14620826677756601,0.984614209585231,1.0014383088491365,1.0119495365416118,0.006329588364059454,0.0014620826677756605,0.00984614209585231,1.0014383088491365,1.011949536541612
1.3,0.1,14,5.2,0.1,0.01,3000,1500,0.180709,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,0.3,14,5.2,0.1,0.01,3000,1500,0.180709,0.001,0,0.6022748752027421,0.3582494624418406,0.8533728932326342,1.0002056995404487,1.0084064334941294,0.5439983762495272,0.19872878664194216,1.0953323685576921,0.9991032833576426,1.0042702136030524,14.019158533890623,13.021300749037406,15.002641206597884,0.9988309800779356,1.0042603786149542,0.18091092922841642,0.1692131109565683,0.19232050502452613,0.9988278819408355,1.0042744427712507,0.29781070351684585,0.05815042743496197,0.8559103515722781,0.99964444489315,1.0115770983582786,0.0029781070351684587,5.815042743496197e-4,0.00855910351572278,0.99964444489315,1.0115770983582786
0.9,0.3,14,5.2,0.1,0.01,3000,1500,0.180709,0.001,0,0.717162398871423,0.5314465364361882,0.9610239808684362,0.9994801778439338,1.015007040801262,0.5201371699663903,0.17992302325552365,1.0458552701848172,0.9991193013157337,1.0029989684226677,14.004313530863229,13.046079573144082,14.969260603999624,0.9992557601902577,1.0064660147044073,0.18073893705172092,0.16950613742043988,0.19193657723680646,0.9992457316712774,1.0064882058027893,0.4935089736964548,0.07882683577949949,0.9700114387816821,0.9991071704495347,1.0128763568837866,0.004935089736964548,7.882683577949948e-4,0.009700114387816823,0.9991071704495347,1.0128763568837866
1.1,0.3,14,5.2,0.1,0.01,3000,1500,0.180709,0.001,0,0.9882662133295825,0.8701508237769874,1.111165674908306,1.0011504190622333,1.0101873464518298,0.48563878767437985,0.13514448021756392,1.0215098840655958,0.9982330733649776,1.004297776825847,14.000140286090831,13.016309194428425,14.976833024935148,0.9988917373402798,1.0031324426943178,0.180689738909969,0.16915406991489457,0.1920236876160408,0.998891135162142,1.003136153381962,0.5973844502689882,0.11389254046226478,0.9823682225712297,1.0013125628660633,1.0111683565839782,0.005973844502689883,0.001138925404622648,0.009823682225712296,1.0013125628660633,1.0111683565839782
1.3,0.3,14,5.2,0.1,0.01,3000,1500,0.180709,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,0.5,14,5.2,0.1,0.01,3000,1500,0.180709,0.001,0,0.5835760022701035,0.333858119801251,0.8252206364304276,1.000123284958669,1.0098883993792267,0.5458593653643149,0.19651615475573492,1.0785221304028216,0.9997137613256701,1.00333609796936,14.015749052350145,13.048954360634264,14.998251356193524,0.9990588210766472,1.0039896630530345,0.1808717654529967,0.16954012704825255,0.19227002547723987,0.999070344400301,1.0039869146498699,0.25199336524484384,0.055264356089442294,0.7830990730045605,0.999684754229044,1.0087054397476274,0.0025199336524484384,5.526435608944229e-4,0.007830990730045605,0.999684754229044,1.0087054397476274
0.9,0.5,14,5.2,0.1,0.01,3000,1500,0.180709,0.001,0,0.6880060253900065,0.48702513837441475,0.9383187623758559,0.9998676631631206,1.014770618634329,0.5275791047413381,0.18773561190421245,1.040692089545357,0.9989107143525148,1.0044687655154436,14.009603180519553,13.03414997901529,14.961758336072142,0.9986587910036715,1.0077435456523764,0.18080032887797262,0.16936507475197124,0.19185026461031354,0.998659774928113,1.0077026025441218,0.449865607021642,0.0728362659588543,0.9530399303045264,0.999606616368912,1.011760794134431,0.0044986560702164205,7.283626595885429e-4,0.009530399303045263,0.999606616368912,1.011760794134431
