size,frequency
1,4796
2,625
3,291
4,168
5,109
6,71
7,58
8,49
9,43
10,35
11,24
12,20
13,14
14,16
15,12
16,10
17,15
18,8
19,11
20,6
21,4
22,3
23,3
24,2
25,3
26,7
28,1
29,3
30,1
31,3
32,1
34,4
35,6
37,1
38,1
39,1
41,1
43,1
45,2
47,1
52,2
53,2
54,1
64,1
67,1
