size,frequency
1,7058
2,916
3,417
4,241
5,185
6,116
7,94
8,65
9,56
10,52
11,31
12,27
13,28
14,21
15,16
16,15
17,15
18,13
19,7
20,9
21,7
22,2
23,2
24,4
25,3
26,4
27,4
28,1
29,2
30,3
31,3
33,2
34,3
36,3
37,1
38,1
40,2
41,1
43,1
48,2
49,2
57,1
69,1
