size,frequency
1,2505
2,332
3,144
4,112
5,76
6,40
7,32
8,26
9,22
10,15
11,10
12,13
13,16
14,14
15,9
16,6
17,9
18,6
19,2
20,2
21,4
22,1
23,2
24,2
25,2
26,1
29,4
30,1
31,2
35,1
37,1
40,1
41,1
42,1
43,1
51,1
