size,frequency
1,3799
2,606
3,287
4,200
5,128
6,101
7,69
8,65
9,49
10,44
11,32
12,42
13,28
14,21
15,11
16,23
17,13
18,13
19,11
20,16
21,11
22,11
23,15
24,16
25,10
26,12
27,11
28,6
29,10
30,9
31,6
32,2
33,4
34,5
35,3
36,7
37,5
38,2
39,5
40,9
41,4
42,2
43,2
44,4
45,7
46,1
47,1
48,4
49,6
51,2
52,2
53,2
54,4
55,2
56,6
57,3
58,3
59,1
60,2
61,3
62,2
63,2
64,2
65,1
66,1
68,1
69,1
70,2
71,1
72,2
74,1
75,2
76,1
77,2
78,2
79,1
80,2
82,2
87,1
88,1
92,1
95,1
96,1
98,1
99,3
101,1
102,2
103,1
104,1
105,1
106,1
108,1
109,1
111,2
113,2
118,1
121,2
122,1
135,1
140,1
142,1
149,2
160,1
161,1
162,1
173,1
179,1
181,1
232,1
233,2
343,1
430,1
