size,frequency
1,2263
2,401
3,199
4,126
5,86
6,68
7,51
8,38
9,45
10,31
11,29
12,26
13,19
14,15
15,17
16,14
17,14
18,10
19,15
20,9
21,5
22,9
23,7
24,10
25,7
26,11
27,5
28,2
29,9
30,3
31,5
32,3
33,2
34,2
35,4
36,7
38,1
39,7
40,2
41,2
42,2
43,2
44,3
45,3
46,5
47,3
48,1
49,4
50,1
51,1
52,4
53,4
54,1
55,1
56,1
58,2
60,2
61,1
63,1
65,3
67,1
68,1
72,1
73,1
76,1
79,1
80,2
81,1
83,2
84,1
85,1
87,2
91,2
95,1
96,1
97,1
109,2
115,2
117,1
121,1
127,1
128,1
132,1
133,1
151,1
157,1
160,1
176,1
183,1
190,1
199,1
211,1
231,1
