size,frequency
1,3877
2,604
3,256
4,186
5,105
6,109
7,78
8,53
9,47
10,54
11,42
12,31
13,26
14,23
15,15
16,15
17,21
18,17
19,6
20,10
21,14
22,13
23,9
24,8
25,8
26,13
27,10
28,6
29,3
30,4
31,4
32,9
33,4
34,2
35,4
36,4
37,2
38,5
39,3
40,8
41,6
42,2
43,1
44,1
45,3
46,5
47,2
48,3
49,2
50,3
51,2
52,4
53,4
54,2
55,2
56,1
57,1
58,1
59,3
60,2
61,5
62,1
63,5
64,3
65,1
66,1
67,2
68,4
69,2
70,1
71,2
72,1
73,1
74,2
76,1
77,2
81,2
83,3
84,1
86,1
88,1
91,1
92,1
94,1
96,1
100,1
106,1
107,1
110,2
114,1
116,1
117,1
119,1
120,1
124,1
127,1
128,1
129,1
134,1
135,1
137,1
139,2
141,3
144,2
156,1
166,1
169,1
179,1
205,1
214,1
215,1
221,1
237,1
245,1
253,1
255,1
261,1
275,1
288,1
296,1
300,1
329,1
403,1
572,1
