size,frequency
1,3909
2,615
3,275
4,178
5,120
6,84
7,73
8,71
9,43
10,27
11,33
12,24
13,22
14,27
15,23
16,19
17,13
18,19
19,7
20,10
21,11
22,10
23,16
24,7
25,11
26,8
27,8
28,8
29,7
30,9
31,8
32,4
33,5
34,7
35,3
36,6
37,9
38,4
39,3
40,3
41,4
42,5
43,4
44,5
45,3
46,6
47,1
48,2
50,3
51,2
52,1
53,1
54,3
55,6
56,1
57,1
58,5
59,1
60,1
61,3
62,2
64,1
65,1
66,1
67,1
68,1
70,1
71,2
75,1
77,1
79,1
80,1
81,1
82,1
83,2
86,1
88,2
91,1
93,1
95,1
96,1
97,1
98,1
102,1
104,1
105,2
106,1
112,3
116,1
117,1
126,1
128,1
130,2
131,2
156,2
167,1
171,1
178,1
190,1
258,1
263,1
