size,frequency
1,4366
2,616
3,332
4,199
5,125
6,103
7,83
8,64
9,44
10,43
11,29
12,30
13,33
14,20
15,27
16,17
17,18
18,15
19,14
20,14
21,10
22,9
23,11
24,11
25,15
26,12
27,4
28,7
29,11
30,6
31,4
32,7
33,9
34,2
35,2
36,4
37,1
38,4
39,4
40,4
41,3
43,1
44,5
45,11
46,3
47,3
48,3
49,3
50,3
51,3
52,3
53,1
54,6
55,2
56,2
57,1
58,1
59,1
60,1
61,2
63,2
64,1
65,2
67,1
68,1
69,3
70,1
71,1
75,1
78,1
79,1
80,2
85,1
86,1
89,1
92,2
95,2
99,2
101,1
103,2
104,2
105,1
110,1
111,1
112,2
113,1
114,1
116,2
125,1
126,1
134,1
137,1
146,1
154,1
167,1
208,1
220,1
229,1
