size,frequency
1,1567
2,322
3,149
4,98
5,66
6,48
7,36
8,31
9,30
10,24
11,19
12,22
13,17
14,16
15,9
16,17
17,10
18,9
19,8
20,4
21,3
22,4
23,5
24,3
25,3
26,8
27,5
28,4
29,2
30,1
31,4
32,4
33,4
34,1
35,2
36,6
37,2
38,4
39,2
40,3
42,1
43,2
44,5
45,2
46,2
47,4
48,3
50,1
51,2
54,1
56,1
57,2
58,4
59,1
61,2
62,1
63,3
64,4
65,2
66,2
67,1
69,2
72,1
74,1
75,1
76,1
77,1
82,1
83,1
84,2
85,2
86,1
87,1
90,1
93,1
95,2
96,1
97,1
99,1
102,1
103,1
104,1
105,2
106,1
112,2
119,1
120,1
122,1
127,1
132,1
133,1
144,1
147,1
151,1
152,1
157,1
167,1
171,1
175,1
179,1
181,2
185,2
188,1
190,1
201,1
206,1
211,1
216,1
221,2
223,1
238,1
241,1
247,1
258,1
275,1
276,1
282,1
296,1
302,1
306,1
307,1
309,1
328,2
351,1
381,1
386,1
412,1
433,1
469,1
500,1
504,1
510,1
523,1
535,1
567,1
609,1
746,1
871,1
929,1
1038,1
1191,1
1207,1
1326,1
1650,1
2048,1
