country,month,index_param_comb,index_repetition,n_clusters,max_cluster_size,R,k,mutation_proba,testing_proba,sequencing_proba
switzerland,01,01,1,5665,2500,0.9455612962102582,0.09167680902647052,0.23386856475461842,0.928190335066795,0.11021243846835203
switzerland,01,02,1,5665,2500,0.9035383569413281,0.08506632552269716,0.2588750886187022,0.6417658090264479,0.11021243846835203
switzerland,01,03,1,5665,2500,0.8474994546071871,0.07214106158818856,0.32122552482622774,0.9782703376417219,0.11021243846835203
switzerland,01,04,1,5665,2500,0.942967858567626,0.06717118353183715,0.2715815500402547,0.9900423296135655,0.11021243846835203
switzerland,01,05,1,5665,2500,0.7563121601350156,0.08996531117987387,0.34526260026285044,0.8789087099511808,0.11021243846835203
switzerland,01,06,1,5665,2500,0.8859624984097576,0.06700026678017501,0.2659067640131316,0.8749102887672277,0.11021243846835203
switzerland,01,07,1,5665,2500,0.9265861261412197,0.080418486032933445,0.18162419638087499,0.9537008616627994,0.11021243846835203
switzerland,01,08,1,5665,2500,0.8716982307240894,0.05439072159826228,0.18009260299804722,0.8470863705340114,0.11021243846835203
switzerland,01,09,1,5665,2500,1.044395072541719,0.06833074930881404,0.28900103433515856,0.7497317635845724,0.11021243846835203
switzerland,01,10,1,5665,2500,0.8363834551077307,0.06587514261044136,0.2788012083984306,0.9077772234371069,0.11021243846835203
switzerland,01,11,1,5665,2500,0.9382004051658369,0.0741744450089268,0.357696639851165,0.913606025635405,0.11021243846835203
switzerland,01,12,1,5665,2500,0.941293291693135,0.10176216415684114,0.252487106015779,0.9441355161195809,0.11021243846835203
switzerland,01,13,1,5665,2500,0.8998063150031745,0.08129956502816492,0.3037927748188223,0.9581730436217074,0.11021243846835203
switzerland,01,14,1,5665,2500,0.9759020289112584,0.07103947608937806,0.26793960243303344,0.9317359144782484,0.11021243846835203
switzerland,01,15,1,5665,2500,0.9049344804845613,0.0707790628140627,0.26609441481045915,0.7568797643721661,0.11021243846835203
switzerland,01,16,1,5665,2500,0.8890348006974051,0.08179752384792188,0.290298264849272,0.9885914732583855,0.11021243846835203
switzerland,01,17,1,5665,2500,0.9465102679020632,0.08244899360203471,0.29599192566817406,0.8188308298428864,0.11021243846835203
switzerland,01,18,1,5665,2500,0.8631514087810371,0.09107022863235013,0.2607690917959525,0.8922617176499565,0.11021243846835203
switzerland,01,19,1,5665,2500,0.918440055807354,0.08684871255160821,0.3087111974200085,0.9814821852790206,0.11021243846835203
switzerland,01,20,1,5665,2500,0.9593465596030949,0.07993988989539201,0.2903872578966075,0.9677148463086865,0.11021243846835203
switzerland,01,21,1,5665,2500,0.9175187553937425,0.08955503146825475,0.2862892299551167,0.9153578262578405,0.11021243846835203
switzerland,01,22,1,5665,2500,0.8388266739926606,0.07606051172671863,0.2714397809678338,0.9869769962462279,0.11021243846835203
switzerland,01,23,1,5665,2500,0.8909318834095378,0.06636765373651417,0.2611909281060387,0.854618730426649,0.11021243846835203
switzerland,01,24,1,5665,2500,0.876664826830108,0.08970821666720344,0.3301009965484439,0.9295539920763397,0.11021243846835203
switzerland,01,25,1,5665,2500,0.8796957837168056,0.07756017467958443,0.34706082658726584,0.6774362532558099,0.11021243846835203
switzerland,01,26,1,5665,2500,0.9529157888163631,0.07702061885207606,0.40608883131590273,0.7410799972409583,0.11021243846835203
switzerland,01,27,1,5665,2500,0.90054874561037,0.08469445416728567,0.3432418822305662,0.8312979167697224,0.11021243846835203
switzerland,01,28,1,5665,2500,0.8467320591504659,0.09063688966170114,0.2931257836764426,0.989052258520327,0.11021243846835203
switzerland,01,29,1,5665,2500,0.879023478206744,0.07161854519697777,0.2910107163126562,0.9115025438026106,0.11021243846835203
switzerland,01,30,1,5665,2500,0.96040468634024,0.0787080750610688,0.2668452563530395,0.737342618691005,0.11021243846835203
switzerland,01,31,1,5665,2500,0.9443267887043079,0.08068049266307821,0.277201345411307,0.9803487136444202,0.11021243846835203
switzerland,01,32,1,5665,2500,0.9927638444850755,0.0760726815682664,0.27896304764308566,0.9665813271898642,0.11021243846835203
switzerland,01,33,1,5665,2500,0.9007832537573084,0.09182882736555815,0.26855288308586595,0.9868773819373927,0.11021243846835203
switzerland,01,34,1,5665,2500,0.8329658132358874,0.07969235673466891,0.2896466381041066,0.8889111428437069,0.11021243846835203
switzerland,01,35,1,5665,2500,0.9259699148242073,0.08014940893607954,0.3554179237688314,0.8474629070059269,0.11021243846835203
switzerland,01,36,1,5665,2500,0.9926367951275116,0.07359904714595142,0.259978385958009,0.9632729517939604,0.11021243846835203
switzerland,01,37,1,5665,2500,0.9117369164632203,0.09147094328171988,0.30745451638332866,0.7503694650289714,0.11021243846835203
switzerland,01,38,1,5665,2500,0.7966276669756778,0.08392659861318252,0.21181821066984138,0.9611645421848958,0.11021243846835203
switzerland,01,39,1,5665,2500,0.9652370191718608,0.07306783053905262,0.33191029500731556,0.9994271755975076,0.11021243846835203
switzerland,01,40,1,5665,2500,0.8812629255761463,0.05166575790621784,0.2591397032309926,0.9853181608527414,0.11021243846835203
switzerland,01,41,1,5665,2500,1.0076983625413305,0.09928629013093677,0.28219380832705443,0.7994479550862951,0.11021243846835203
switzerland,01,42,1,5665,2500,0.8742194656527832,0.08455648615366228,0.27894084507710737,0.778942807239814,0.11021243846835203
switzerland,01,43,1,5665,2500,0.8882741550595383,0.07399368471454984,0.2521339616036065,0.989964400675011,0.11021243846835203
switzerland,01,44,1,5665,2500,0.83348675477663,0.08479448899705945,0.2427228206220869,0.39978033868660284,0.11021243846835203
switzerland,01,45,1,5665,2500,1.0198763600336371,0.07695819287378475,0.2949571873808806,0.5881928849868522,0.11021243846835203
switzerland,01,46,1,5665,2500,0.8994181706549282,0.08271224060019228,0.28254851345980064,0.9981956906542508,0.11021243846835203
switzerland,01,47,1,5665,2500,0.8283673805248898,0.0798177888036924,0.22567147007875724,0.9407712963993556,0.11021243846835203
switzerland,01,48,1,5665,2500,0.8207332880066343,0.08171364069821976,0.22708199317410577,0.776102612125774,0.11021243846835203
switzerland,01,49,1,5665,2500,0.913435536232776,0.09014053112626629,0.3410100551478193,0.6175624202557477,0.11021243846835203
switzerland,01,50,1,5665,2500,0.892362543805654,0.08313869229386424,0.2676360507836579,0.9009043916251035,0.11021243846835203
switzerland,02,01,1,2712,2500,1.1549948685066564,0.2195985737803111,0.3498822910479352,0.6158795920238702,0.1312052320149486
switzerland,02,02,1,2712,2500,1.075980494288616,0.2867485354422976,0.36966498859764707,0.45205703072153564,0.1312052320149486
switzerland,02,03,1,2712,2500,1.0367378252145676,0.30337315608235493,0.30203400513317624,0.47701179809858996,0.1312052320149486
