size,frequency
1,6381
2,962
3,450
4,261
5,238
6,141
7,103
8,85
9,88
10,59
11,59
12,43
13,41
14,41
15,36
16,37
17,26
18,28
19,29
20,17
21,17
22,18
23,9
24,14
25,15
26,12
27,5
28,9
29,10
30,5
31,10
32,14
33,16
34,4
35,7
36,3
37,6
38,1
39,2
40,6
41,9
42,4
43,4
44,4
45,3
46,2
47,3
48,6
49,3
50,3
51,6
52,4
53,3
54,4
55,2
56,2
58,2
59,1
60,3
61,3
62,6
64,1
66,1
67,1
68,3
70,3
72,1
74,2
75,2
79,1
80,1
81,2
82,1
83,1
84,3
85,1
87,2
90,1
91,1
92,2
96,2
98,1
100,1
105,2
106,1
108,1
114,1
118,1
123,1
124,1
125,1
129,1
141,1
148,2
158,1
167,1
171,1
177,1
197,1
