month,country,sequencing_proba,R_estimate,R_lower_cred_int,R_upper_cred_int,R_Rhat,k_estimate,k_lower_cred_int,k_upper_cred_int,k_Rhat,number_yearly_mutations_estimate,number_yearly_mutations_lower_cred_int,number_yearly_mutations_upper_cred_int,number_yearly_mutations_Rhat,mutation_proba_estimate,mutation_proba_lower_cred_int,mutation_proba_upper_cred_int,mutation_proba_Rhat,testing_proba_estimate,testing_proba_lower_cred_int,testing_proba_upper_cred_int,testing_proba_Rhat,detection_proba_estimate,detection_proba_lower_cred_int,detection_proba_upper_cred_int,detection_proba_Rhat
1,Switzerland,0.11021243846835203,0.780358502052796,0.7480524229617358,0.8155537285931577,0.9998297423620884,0.08098689908825149,0.0589661351293644,0.10175347188306921,1.0032709340571182,14.001787755199402,13.016392029769737,14.981807701288675,1.0021150624979163,0.18070768689676267,0.16915504965478365,0.19208090937324515,1.0021457960681055,0.8673595532456677,0.5735776771934487,0.9966897935569563,1.002820216423386,0.0955938113920255,0.06321539445450326,0.10984761254443057,1.002820216423386
2,Switzerland,0.1312052320149486,0.9755937203760693,0.9318393723928641,1.0358948116746953,1.00407043633701,0.24950851033912114,0.149993535800367,0.3532480146189233,1.0068785483174583,14.00857098512834,13.063169360724244,14.97575858131302,1.001291067311489,0.18078859671815276,0.16970817556868092,0.1920113280813698,1.0012675552878458,0.7272772777794074,0.2907294146974726,0.9909554567492729,1.0050814604247145,0.09542258397024732,0.03814522030895211,0.13001854061926774,1.0050814604247145
3,Switzerland,0.1165240004334164,0.9513299056497762,0.9142079084260615,0.9995452604049807,1.002194780623863,0.19079123789313246,0.12490889519002336,0.2556561384815314,1.003313029022798,14.003973123028612,12.95551854547488,14.958406960624792,1.0028594955690182,0.18073369271545145,0.16843468988754096,0.19181170441251208,1.0028522371042998,0.7936994082389416,0.37352381319831596,0.9942958395352762,1.0038008959059275,0.0924850301896367,0.043524488971011924,0.11585932883695266,1.0038008959059275
4,Switzerland,0.12875204265932744,0.9236825917217818,0.886355253856094,0.9809871424258624,1.0031324905594083,0.23145512869388207,0.1558974840702537,0.3055312377299964,1.0019609418285889,13.995717279931041,13.013120872856025,14.940001561381052,1.0045839808677424,0.18063800181897402,0.16911635521550702,0.1915999035218359,1.0045631511824682,0.7747507963587625,0.3736772184510325,0.9901570582245883,1.0033726209745202,0.09975074758313131,0.04811170517082616,0.12748474379996635,1.0033726209745202
5,Switzerland,0.17024585751031884,0.9127824291888169,0.8688218442549059,0.983747274498518,1.0048850370486189,0.25162585104909696,0.15572457104538787,0.33877179027429266,1.0025425111845438,13.985641642722454,13.091196384192665,14.92014794195938,1.0005688974915994,0.18052164147914404,0.17003940873231993,0.1913713745274522,1.0005809444081166,0.7436652592223615,0.2934635546411546,0.99296309500703,1.005311435778246,0.12660592975694454,0.049960954507909675,0.169047853585572,1.005311435778246
6,Switzerland,0.21487603305785125,0.9628971313939457,0.9126999624563692,1.016553685541752,1.0102421732892481,0.1849318344852504,0.11997950401453648,0.2599187467644088,1.0002558632423595,13.996235542884326,12.96663710349203,14.997772128349046,1.0012717733431524,0.18064260518041084,0.16856631045458254,0.1922645145689285,1.0012641789844703,0.7896066255260815,0.40593682884795546,0.9912597519485952,1.0079554677429572,0.1696675393692407,0.08722609545493258,0.21299796322862377,1.007955467742957
7,Switzerland,0.338152261587144,0.8536742626217627,0.817446125481035,0.8967122713324274,1.0024681756328357,0.19515330597388525,0.15736847794630207,0.23770375547052086,1.0019877282410494,14.011323309761513,13.106724252464689,14.967328020146065,1.0009298283472772,0.18082059247225368,0.17022286608657672,0.19191434393925025,1.000932403970347,0.883323852683031,0.6136599241996867,0.996495594465069,1.0041295275532514,0.2986979584986361,0.20751049121351942,0.33696723892998853,1.0041295275532516
8,Switzerland,0.19261160679769287,0.7783780341422459,0.7545839851918835,0.8045577264904755,1.0011295568315746,0.129895158436618,0.11093411088520888,0.14890832692679967,1.001835079495512,14.016420633989558,13.070163738079172,14.962300952141025,1.0005060492131532,0.180879289782256,0.1697908497943457,0.1918565076442227,1.0004896067924558,0.9302220029422874,0.7560399582384607,0.9973312271180287,1.0005831996819992,0.17917155466528226,0.14562207115957052,0.19209757016471826,1.000583199681999
9,Switzerland,0.15669649049798862,0.8739022541688797,0.8475166787210923,0.908263368983095,1.0039390829697377,0.1553331089043798,0.12466264411547806,0.18517746726518447,1.0006252441534982,13.993498665629522,12.998364592897769,14.973009329938314,0.9991035957448031,0.18061178168944841,0.1689417829109078,0.1919797023908064,0.9991175612593746,0.8939192660034633,0.6044884357027206,0.9978140392241139,1.0038161456101569,0.1400740117712806,0.09472121642123535,0.156353958116041,1.0038161456101569
10,Switzerland,0.25492631697814916,0.8902000015673273,0.8602930243367544,0.9328340577559997,1.0024245777454786,0.21470391271187333,0.16537801122561804,0.25926211880468925,1.0029705162752902,13.983104196862769,13.042177100984619,14.973017127640256,1.0030546063174244,0.18049184044140598,0.1694599943710613,0.19197979199424672,1.003048007915603,0.8484689307066985,0.5122668598148687,0.9955906486813955,1.004686313778747,0.21629705957544723,0.13059030388256634,0.2538022572862345,1.004686313778747
11,Switzerland,0.097207187702966,0.8867802189888564,0.8625626208707743,0.9139322530811547,1.0065814705602354,0.11459792878944333,0.08742348519851642,0.1371143500863731,1.003691523839081,13.987929574454505,13.012555924173448,14.918338578098483,1.0039972373517771,0.18054840095975133,0.16910967272236424,0.19135054475298266,1.0040086150065644,0.8803112530642829,0.6060865334659581,0.996733689425716,1.006155056604646,0.08557258121365297,0.058915967422865374,0.0968896788378754,1.006155056604646
12,Switzerland,0.03298508889019048,0.8737210709515606,0.8512592554764609,0.8960188740751683,0.999988301232231,0.024677441311743414,0.01817456493721679,0.030252235764765177,1.0019393269679404,13.99363057428454,12.965509025979097,14.981994014124993,1.0016414242371388,0.18061217275024277,0.16855295730448705,0.19208305237376244,1.0016668263971886,0.8963636736562425,0.6551423822326692,0.9977716496225199,1.0020001801675482,0.02956663545348884,0.021609929713675743,0.03291158655491081,1.0020001801675482
1,Denmark,0.4610059559075743,1.0769426283897003,1.048378642390096,1.1156628958201706,0.9994236469672315,0.40291343380946704,0.3169254760741038,0.4796272955851525,0.998659420066504,14.029515838013062,13.070845209007672,14.992797155298492,1.0030643431733466,0.18103254774621536,0.16979890462819233,0.19220730221428325,1.0030536069199676,0.7676574736217033,0.3488131971333805,0.9939340132692682,0.9986058314767348,0.35389466743656695,0.16080496137765124,0.4582094998962507,0.9986058314767348
2,Denmark,0.7206751711263223,1.1259634041243025,1.0884419491842323,1.172746451202065,1.0066046495064882,0.554943084740686,0.39473250976664487,0.6854931503751829,1.0124277467992546,14.00802411361878,13.049430838289853,14.948587111899936,0.9997499318395627,0.1807821305356256,0.16954576046104594,0.19169870872174893,0.9997654382883531,0.6236226182518697,0.1396925685785246,0.9821881858874159,1.0072309835506774,0.44942933712691124,0.10067296576540372,0.7078386389426654,1.0072309835506774
3,Denmark,0.8446500444305055,1.0663298820050258,1.032748617292697,1.1111855795353318,1.0050111713038101,0.5113247925407938,0.4135087159973902,0.5962366309182708,1.0058556239001422,14.01645983163264,12.964253211446263,15.019139428333807,1.0051321098803951,0.18087781502346822,0.16853809187425062,0.19251019235036265,1.0050778499690967,0.7767140660409866,0.3391516542633471,0.9942480424733707,1.0057412176847387,0.6560515703913182,0.2864644598422156,0.8397916532500757,1.0057412176847387
4,Denmark,0.7160583941605839,1.096283334343014,1.0661261033286962,1.137683011273612,1.0025132294455994,0.5196107452213422,0.41979349482008893,0.6031865070351008,1.0032955217546982,14.023904559359911,12.998927585553629,15.030826040694462,1.0006471535817973,0.18096594128844484,0.16894844418121818,0.19264453152215127,1.000652151713218,0.7702254740525893,0.32354658280301846,0.9897608371702059,1.0044968170307143,0.5515264160916714,0.2316782465180738,0.7087265556671328,1.0044968170307145
5,Denmark,0.7788510079763067,1.0412634828105647,1.0147454005245817,1.0715293357962472,1.0032280645052627,0.34807640752648067,0.30250035757156346,0.3893736898132234,1.007348748902229,14.022082077731309,13.10129295980533,14.961899298274542,1.001553757232743,0.1809464264375558,0.17015870155685373,0.19185188644580187,1.0015594675790385,0.8778433897635058,0.6037578181180719,0.9977887950591118,1.009185886104255,0.6837092089626445,0.470237385214836,0.7771288087792537,1.009185886104255
6,Denmark,0.4361115894609954,1.1432472138368395,1.1155487711228382,1.1748381279538913,0.9994794619549568,0.34090860465354356,0.22592427765467807,0.43820212492752114,1.000415095601885,13.997386234031083,12.987484207145908,15.011336140661106,1.0009805768102156,0.1806561229503659,0.16881304046976076,0.19242047991945277,1.0009862131289098,0.7382216856086423,0.25390614129108935,0.9882995166363077,1.000051964582514,0.32194703268535996,0.11073141085236504,0.4310088730637936,1.000051964582514
7,Denmark,0.831049268538759,0.923616791388668,0.8983159472910465,0.95096364391583,1.0003837882259057,0.28015770888939934,0.2536220830929529,0.3059735349943358,1.00255471944825,14.029875473029549,13.076897357018687,14.957061175423902,0.9993597298447123,0.18103718706782593,0.1698704344903355,0.19179621912864797,0.999368858582327,0.9434432161672547,0.8026192012733885,0.9983534143757138,1.0016697662018226,0.7840477947036515,0.6670161001334125,0.8296808747601095,1.0016697662018224
8,Denmark,0.8218173050427114,0.8900276710102264,0.8667471081466116,0.9178590198597115,1.0000974249694614,0.41995372343701515,0.38089539240382564,0.4593921833617521,1.0040472833719865,14.00843371305561,13.004410796934797,15.01369184685544,1.0011459400492653,0.1807852198499631,0.16901331629510116,0.19244756403046806,1.001158990837951,0.9258810336494896,0.7561703223225412,0.9972767461749911,1.0017083729521306,0.760905055863984,0.6214338564443892,0.8195792879232955,1.0017083729521306
9,Denmark,0.8594348659003831,0.986038064612321,0.9504929422667383,1.0396098014907802,1.0112562063546706,0.40327443955685277,0.3259987829472525,0.4661814107472525,1.0088381434788178,13.992995780823785,12.919873509417071,14.934799101936703,1.005709550821076,0.1806052577785933,0.16801258659214652,0.19154002599520942,1.0057072162709737,0.8091126652534616,0.4058949937987343,0.9939966563603315,1.0140259038384127,0.6953796349604106,0.348840309565052,0.8542753830644708,1.0140259038384127
