size,month,frequency
98,4,1
100,4,2
105,4,1
106,4,1
111,4,1
126,4,1
151,4,1
158,4,1
166,4,1
176,4,1
177,4,1
183,4,1
226,4,1
1,5,12747
2,5,2405
3,5,1015
4,5,519
5,5,352
6,5,244
7,5,153
8,5,136
9,5,79
10,5,86
11,5,62
12,5,59
13,5,35
14,5,41
15,5,27
16,5,16
17,5,22
18,5,14
19,5,17
20,5,7
21,5,9
22,5,10
23,5,16
24,5,10
25,5,10
26,5,8
27,5,7
28,5,8
29,5,6
30,5,8
31,5,3
32,5,8
33,5,8
34,5,5
35,5,6
36,5,7
37,5,1
38,5,6
39,5,1
40,5,2
41,5,4
43,5,5
45,5,2
46,5,3
47,5,4
48,5,2
49,5,3
50,5,2
51,5,1
52,5,1
53,5,1
54,5,1
57,5,1
60,5,1
61,5,1
63,5,1
66,5,1
71,5,1
74,5,2
75,5,1
77,5,2
78,5,1
79,5,1
82,5,2
86,5,2
96,5,1
98,5,1
100,5,1
105,5,1
106,5,1
111,5,1
126,5,1
151,5,1
158,5,1
166,5,1
176,5,1
183,5,1
226,5,1
1,6,3925
2,6,784
3,6,302
4,6,164
5,6,120
6,6,81
7,6,60
8,6,34
9,6,23
10,6,27
11,6,21
12,6,16
13,6,16
14,6,8
15,6,4
16,6,5
17,6,7
18,6,4
19,6,5
21,6,1
22,6,2
23,6,2
24,6,2
25,6,6
26,6,4
27,6,1
30,6,1
31,6,2
32,6,2
33,6,1
34,6,1
35,6,4
36,6,5
37,6,2
38,6,1
40,6,1
41,6,1
46,6,1
47,6,1
49,6,1
51,6,1
57,6,1
60,6,2
61,6,1
63,6,1
66,6,1
70,6,1
71,6,1
74,6,2
77,6,1
82,6,1
86,6,1
96,6,1
100,6,1
158,6,1
172,6,1
183,6,1
283,6,1
1,7,4060
2,7,772
3,7,274
4,7,144
5,7,94
6,7,63
7,7,56
8,7,32
9,7,26
10,7,19
11,7,16
12,7,14
13,7,13
14,7,13
15,7,7
16,7,7
17,7,5
18,7,4
19,7,3
20,7,4
21,7,5
22,7,6
23,7,3
24,7,3
25,7,2
26,7,3
28,7,4
29,7,1
30,7,1
31,7,2
33,7,1
34,7,2
35,7,4
36,7,1
37,7,2
38,7,1
39,7,1
41,7,1
42,7,1
43,7,1
45,7,1
49,7,2
55,7,1
60,7,2
61,7,1
62,7,1
70,7,1
75,7,1
82,7,1
123,7,1
135,7,1
158,7,1
172,7,1
283,7,1
1,8,15006
2,8,2527
3,8,987
4,8,464
5,8,315
6,8,184
7,8,143
8,8,92
9,8,70
10,8,62
11,8,57
12,8,39
13,8,31
14,8,28
15,8,16
16,8,23
17,8,10
18,8,18
19,8,8
20,8,12
21,8,8
22,8,13
23,8,8
24,8,6
25,8,10
26,8,5
27,8,4
28,8,6
29,8,2
30,8,1
31,8,8
32,8,1
33,8,2
34,8,3
35,8,5
36,8,3
37,8,4
38,8,2
39,8,5
41,8,1
42,8,1
43,8,2
44,8,2
45,8,1
49,8,2
50,8,1
51,8,1
53,8,1
55,8,1
56,8,1
58,8,1
60,8,2
61,8,1
62,8,1
63,8,2
64,8,1
67,8,1
70,8,1
75,8,1
81,8,1
82,8,1
123,8,1
130,8,1
135,8,1
137,8,1
157,8,1
167,8,1
170,8,1
172,8,1
283,8,1
1,9,20418
2,9,3617
3,9,1353
4,9,716
5,9,459
6,9,272
7,9,187
8,9,131
9,9,107
10,9,84
11,9,77
12,9,54
13,9,43
14,9,38
15,9,21
16,9,32
17,9,22
18,9,19
19,9,12
20,9,16
21,9,12
22,9,13
23,9,11
24,9,4
25,9,12
26,9,6
27,9,10
28,9,7
